
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.15V
CH2:  32 = 0.15V

N	CH1	CH2

0	128	27
1	128	27
2	128	27
3	128	27
4	128	27
5	128	27
6	128	27
7	128	27
8	128	27
9	128	27
10	128	27
11	128	27
12	128	27
13	128	27
14	128	27
15	128	27
16	128	27
17	128	27
18	127	26
19	128	27
20	128	28
21	128	28
22	128	27
23	128	27
24	128	28
25	128	28
26	128	27
27	128	27
28	128	27
29	128	27
30	128	27
31	128	27
32	128	27
33	128	27
34	128	27
35	128	27
36	128	27
37	128	27
38	128	27
39	128	27
40	129	27
41	129	27
42	128	27
43	128	27
44	128	28
45	128	28
46	128	28
47	128	27
48	128	27
49	128	27
50	128	28
51	128	28
52	128	27
53	128	27
54	129	28
55	129	28
56	128	28
57	128	27
58	128	27
59	128	27
60	128	27
61	128	27
62	128	28
63	128	28
64	128	28
65	127	27
66	128	27
67	128	27
68	128	27
69	128	27
70	128	28
71	128	28
72	128	27
73	128	27
74	128	27
75	128	27
76	128	27
77	129	27
78	129	28
79	129	27
80	128	27
81	128	27
82	128	27
83	128	27
84	128	27
85	128	27
86	128	27
87	128	27
88	128	27
89	128	27
90	128	27
91	128	27
92	128	27
93	128	27
94	128	28
95	128	28
96	128	27
97	128	27
98	128	27
99	128	28
100	128	28
101	128	27
102	128	27
103	128	27
104	128	27
105	128	27
106	128	27
107	128	28
108	128	28
109	128	27
110	128	27
111	128	27
112	128	27
113	128	27
114	128	27
115	128	28
116	128	28
117	128	28
118	128	27
119	128	27
120	128	27
121	128	27
122	128	27
123	128	28
124	128	28
125	128	27
126	128	28
127	128	28
128	128	28
129	128	28
130	128	28
131	127	28
132	128	28
133	128	27
134	128	28
135	128	28
136	127	27
137	128	27
138	128	28
139	128	28
140	128	28
141	128	28
142	128	28
143	128	27
144	128	27
145	128	27
146	128	28
147	128	28
148	128	27
149	128	28
150	128	28
151	128	28
152	128	27
153	128	27
154	128	27
155	129	28
156	128	28
157	128	27
158	128	28
159	129	28
160	129	28
161	128	28
162	128	28
163	128	27
164	129	28
165	129	28
166	129	28
167	129	28
168	128	28
169	128	28
170	128	28
171	128	27
172	128	28
173	129	28
174	129	28
175	128	28
176	128	28
177	128	28
178	128	28
179	128	28
180	128	28
181	128	28
182	128	28
183	128	28
184	128	28
185	128	28
186	128	28
187	128	28
188	128	28
189	128	28
190	128	27
191	128	27
192	128	27
193	128	28
194	128	28
195	128	28
196	128	28
197	128	28
198	128	28
199	128	28
200	128	28
201	128	28
202	128	28
203	128	28
204	128	28
205	128	28
206	128	28
207	129	28
208	129	28
209	128	28
210	129	28
211	129	28
212	128	28
213	128	28
214	129	28
215	129	28
216	128	28
217	128	28
218	128	28
219	128	28
220	128	27
221	128	27
222	128	28
223	128	28
224	128	28
225	128	28
226	128	28
227	128	28
228	128	28
229	128	28
230	128	28
231	128	28
232	128	28
233	128	28
234	127	27
235	128	28
236	128	28
237	128	28
238	128	28
239	128	28
240	128	28
241	128	28
242	128	28
243	128	28
244	128	28
245	128	28
246	128	28
247	128	28
248	128	28
249	128	28
250	129	28
251	129	28
252	128	27
253	128	28
254	128	28
255	128	28
256	128	27
257	128	28
258	128	28
259	128	28
260	129	28
261	129	27
262	129	28
263	129	28
264	129	28
265	128	28
266	129	28
267	129	28
268	129	28
269	128	28
270	128	28
271	128	28
272	128	28
273	128	28
274	128	28
275	128	28
276	129	28
277	129	28
278	129	28
279	128	28
280	128	28
281	128	27
282	128	28
283	128	28
284	128	28
285	128	28
286	128	28
287	128	28
288	128	28
289	128	28
290	128	28
291	128	28
292	128	28
293	128	28
294	128	28
295	128	28
296	128	28
297	128	28
298	128	28
299	128	28
300	128	28
301	128	28
302	128	28
303	128	28
304	128	28
305	128	28
306	128	28
307	128	27
308	128	27
309	128	27
310	129	28
311	129	28
312	128	28
313	128	28
314	128	28
315	128	28
316	128	28
317	128	28
318	129	28
319	129	28
320	128	28
321	129	28
322	129	28
323	128	28
324	128	28
325	128	27
326	128	28
327	128	28
328	129	28
329	129	28
330	128	28
331	128	28
332	128	28
333	128	28
334	129	28
335	129	28
336	128	28
337	129	28
338	129	28
339	128	28
340	128	28
341	128	28
342	128	28
343	128	28
344	128	28
345	129	28
346	129	28
347	129	28
348	128	28
349	128	28
350	129	28
351	129	28
352	128	28
353	128	28
354	128	28
355	128	28
356	128	28
357	128	28
358	128	28
359	128	28
360	129	28
361	129	28
362	128	28
363	128	28
364	128	28
365	127	27
366	129	27
367	129	28
368	128	27
369	127	26
370	255	228
371	255	227
372	255	227
373	246	227
374	229	227
375	215	228
376	202	228
377	192	229
378	185	230
379	176	230
380	168	229
381	163	229
382	159	229
383	154	230
384	152	230
385	148	230
386	145	230
387	143	230
388	142	230
389	140	231
390	139	231
391	138	231
392	136	231
393	136	230
394	135	230
395	134	230
396	133	231
397	133	231
398	132	231
399	132	231
400	132	231
401	131	230
402	131	231
403	131	231
404	130	231
405	130	231
406	130	231
407	130	231
408	129	230
409	130	231
410	130	231
411	130	231
412	130	231
413	130	230
414	129	230
415	129	230
416	129	231
417	129	231
418	129	231
419	129	231
420	129	231
421	129	231
422	129	231
423	129	231
424	130	231
425	130	231
426	130	230
427	128	231
428	129	231
429	129	231
430	129	231
431	129	231
432	129	231
433	129	231
434	129	231
435	129	231
436	129	231
437	129	231
438	129	231
439	129	231
440	129	231
441	129	231
442	129	231
443	129	231
444	128	231
445	129	231
446	129	231
447	129	231
448	129	231
449	129	231
450	129	231
451	129	231
452	129	231
453	129	231
454	129	231
455	129	231
456	129	231
457	129	231
458	129	231
459	129	230
460	129	231
461	129	231
462	129	231
463	129	231
464	129	231
465	129	231
466	129	231
467	129	231
468	128	231
469	129	231
470	129	231
471	129	231
472	129	231
473	129	231
474	128	230
475	128	231
476	129	231
477	129	231
478	129	231
479	129	231
480	129	231
481	129	231
482	129	231
483	129	231
484	129	231
485	129	231
486	129	231
487	129	231
488	129	231
489	129	231
490	128	231
491	129	231
492	129	231
493	129	231
494	129	231
495	129	231
496	129	231
497	128	231
498	129	231
499	129	231
500	129	231
501	129	231
502	129	231
503	129	230
504	129	231
505	129	231
506	129	231
507	129	231
508	129	231
509	129	231
510	129	231
511	129	231
512	129	231
513	128	231
514	129	231
515	129	231
516	129	230
517	129	231
518	129	231
519	129	231
520	129	231
521	129	230
522	129	230
523	129	230
524	129	231
525	129	231
526	129	231
527	128	231
528	129	231
529	129	231
530	129	231
531	129	231
532	128	230
533	128	231
534	129	231
535	129	231
536	129	230
537	129	231
538	129	231
539	129	231
540	129	230
541	129	231
542	129	231
543	129	231
544	129	231
545	129	232
546	129	231
547	128	231
548	128	231
549	128	231
550	129	231
551	129	231
552	129	231
553	129	231
554	129	231
555	129	231
556	129	231
557	128	230
558	129	231
559	129	231
560	128	231
561	129	231
562	129	231
563	128	231
564	129	231
565	129	230
566	129	231
567	129	231
568	128	230
569	128	230
570	128	231
571	128	231
572	128	231
573	128	231
574	128	231
575	128	231
576	128	231
577	129	231
578	129	231
579	129	231
580	129	231
581	128	231
582	129	231
583	129	231
584	129	231
585	129	231
586	129	231
587	128	231
588	128	231
589	129	231
590	129	231
591	128	231
592	128	229
593	128	230
594	129	230
595	129	230
596	128	230
597	129	230
598	129	230
599	129	230
600	127	231
601	128	231
602	128	231
603	128	231
604	129	230
605	129	230
606	128	230
607	129	230
608	129	230
609	129	230
610	129	230
611	128	231
612	129	231
613	129	231
614	129	231
615	129	230
616	129	231
617	128	231
618	128	231
619	129	231
620	129	231
621	128	231
622	128	231
623	128	231
624	129	231
625	129	231
626	129	230
627	129	230
628	128	230
629	128	231
630	128	231
631	128	230
632	128	230
633	128	230
634	129	230
635	129	230
636	128	230
637	128	230
638	128	230
639	129	231
640	129	231
641	128	231
642	128	230
643	128	230
644	128	230
645	129	231
646	129	231
647	128	230
648	129	230
649	129	230
650	129	230
651	129	231
652	128	231
653	128	231
654	128	231
655	129	231
656	129	231
657	129	231
658	128	231
659	129	231
660	129	231
661	128	231
662	129	230
663	129	230
664	129	230
665	129	230
666	129	230
667	129	230
668	129	231
669	129	231
670	129	230
671	129	231
672	128	231
673	128	231
674	129	231
675	129	230
676	129	230
677	128	230
678	128	230
679	128	230
