N	f/[kHz]	V/[dBV]
0	0.0031	-71.2
1	0.0519	-32.0
2	0.1007	-32.0
3	0.1495	-70.9
4	0.1984	-71.8
5	0.2472	-74.0
6	0.2960	-74.7
7	0.3448	-71.5
8	0.3937	-72.2
9	0.4425	-77.2
10	0.4913	-72.8
11	0.5402	-72.2
12	0.5890	-67.5
13	0.6378	-71.5
14	0.6866	-72.5
15	0.7355	-72.5
16	0.7843	-73.4
17	0.8331	-71.8
18	0.8820	-67.8
19	0.9308	-70.3
20	0.9796	-72.5
21	1.0284	-71.2
22	1.0773	-68.1
23	1.1261	-73.7
24	1.1749	-72.2
25	1.2238	-69.0
26	1.2726	-69.6
27	1.3214	-76.2
28	1.3702	-69.0
29	1.4191	-69.3
30	1.4679	-72.2
31	1.5167	-73.4
32	1.5656	-73.7
33	1.6144	-73.4
34	1.6632	-71.2
35	1.7120	-74.0
36	1.7609	-71.5
37	1.8097	-71.5
38	1.8585	-69.6
39	1.9073	-70.9
40	1.9562	-74.0
41	2.0050	-72.5
42	2.0538	-72.2
43	2.1027	-72.2
44	2.1515	-70.6
45	2.2003	-68.7
46	2.2491	-70.6
47	2.2980	-69.0
48	2.3468	-71.5
49	2.3956	-69.6
50	2.4445	-71.8
51	2.4933	-72.2
52	2.5421	-72.2
53	2.5909	-66.5
54	2.6398	-72.2
55	2.6886	-71.2
56	2.7374	-68.7
57	2.7863	-70.9
58	2.8351	-70.6
59	2.8839	-71.5
60	2.9327	-73.4
61	2.9816	-66.2
62	3.0304	-66.5
63	3.0792	-68.7
64	3.1281	-69.6
65	3.1769	-68.1
66	3.2257	-68.4
67	3.2745	-60.5
68	3.3234	-67.8
69	3.3722	-55.5
70	3.4210	-63.7
71	3.4698	-51.1
72	3.5187	-57.1
73	3.5675	-8.5
74	3.6163	-52.4
75	3.6652	-52.4
76	3.7140	-65.9
77	3.7628	-57.4
78	3.8116	-68.4
79	3.8605	-60.9
80	3.9093	-65.3
81	3.9581	-65.6
82	4.0070	-68.1
83	4.0558	-66.2
84	4.1046	-66.2
85	4.1534	-70.0
86	4.2023	-70.0
87	4.2511	-70.9
88	4.2999	-69.6
89	4.3488	-63.4
90	4.3976	-58.7
91	4.4464	-73.4
92	4.4952	-72.5
93	4.5441	-70.3
94	4.5929	-66.8
95	4.6417	-72.5
96	4.6906	-73.4
97	4.7394	-73.1
98	4.7882	-67.1
99	4.8370	-74.4
100	4.8859	-72.2
101	4.9347	-72.5
102	4.9835	-72.5
103	5.0323	-72.5
104	5.0812	-67.1
105	5.1300	-71.8
106	5.1788	-69.6
107	5.2277	-72.8
108	5.2765	-72.8
109	5.3253	-74.4
110	5.3741	-66.8
111	5.4230	-74.7
112	5.4718	-71.2
113	5.5206	-70.0
114	5.5695	-66.2
115	5.6183	-73.1
116	5.6671	-75.6
117	5.7159	-71.2
118	5.7648	-74.7
119	5.8136	-72.2
120	5.8624	-72.2
121	5.9113	-72.2
122	5.9601	-75.0
123	6.0089	-72.5
124	6.0577	-69.6
125	6.1066	-71.2
126	6.1554	-71.5
127	6.2042	-71.5
128	6.2531	-69.0
129	6.3019	-67.5
130	6.3507	-68.7
131	6.3995	-64.9
132	6.4484	-65.3
133	6.4972	-63.1
134	6.5460	-72.8
135	6.5948	-66.2
136	6.6437	-70.6
137	6.6925	-72.5
138	6.7413	-72.5
139	6.7902	-69.0
140	6.8390	-69.0
141	6.8878	-69.6
142	6.9366	-72.2
143	6.9855	-69.0
144	7.0343	-71.8
145	7.0831	-63.1
146	7.1320	-74.0
147	7.1808	-66.2
148	7.2296	-71.2
149	7.2784	-64.3
150	7.3273	-73.1
151	7.3761	-65.9
152	7.4249	-68.4
153	7.4738	-64.6
154	7.5226	-70.0
155	7.5714	-59.0
156	7.6202	-70.6
157	7.6691	-58.4
158	7.7179	-67.8
159	7.7667	-54.3
160	7.8156	-65.6
161	7.8644	-48.3
162	7.9132	-59.0
163	7.9620	-12.5
164	8.0109	-24.8
165	8.0597	-47.7
166	8.1085	-52.7
167	8.1573	-57.1
168	8.2062	-57.1
169	8.2550	-58.0
170	8.3038	-58.0
171	8.3527	-64.0
172	8.4015	-64.0
173	8.4503	-61.5
174	8.4991	-61.5
175	8.5480	-70.3
176	8.5968	-60.2
177	8.6456	-70.6
178	8.6945	-64.0
179	8.7433	-71.5
180	8.7921	-61.8
181	8.8409	-70.9
182	8.8898	-65.3
183	8.9386	-71.5
184	8.9874	-67.1
185	9.0363	-69.6
186	9.0851	-63.1
187	9.1339	-68.1
188	9.1827	-65.9
189	9.2316	-72.8
190	9.2804	-69.3
191	9.3292	-71.2
192	9.3781	-66.8
193	9.4269	-71.8
194	9.4757	-69.0
195	9.5245	-70.3
196	9.5734	-68.1
197	9.6222	-70.0
198	9.6710	-72.8
199	9.7198	-75.0
200	9.7687	-64.6
201	9.8175	-74.0
202	9.8663	-68.7
203	9.9152	-72.5
204	9.9640	-74.4
205	10.0128	-71.5
