
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2

0	148	104
1	148	97
2	145	84
3	139	66
4	129	46
5	118	26
6	105	8
7	93	0
8	82	0
9	76	0
10	74	0
11	75	8
12	82	24
13	92	41
14	105	57
15	119	70
16	132	77
17	144	79
18	152	78
19	157	72
20	157	65
21	156	57
22	152	52
23	147	51
24	144	54
25	142	62
26	142	75
27	145	89
28	150	103
29	156	116
30	162	125
31	167	126
32	168	124
33	168	113
34	163	97
35	154	78
36	141	57
37	127	38
38	112	22
39	98	11
40	87	7
41	79	7
42	77	16
43	78	26
44	84	39
45	93	52
46	103	61
47	114	67
48	124	67
49	131	64
50	135	58
51	136	50
52	136	42
53	133	37
54	131	36
55	128	39
56	129	49
57	131	63
58	137	81
59	145	99
60	155	117
61	165	131
62	174	139
63	180	140
64	183	135
65	182	124
66	176	108
67	166	89
68	152	71
69	137	55
70	122	42
71	109	35
72	98	34
73	92	38
74	90	45
75	91	54
76	95	64
77	102	70
78	109	72
79	115	71
80	119	65
81	121	56
82	121	44
83	118	33
84	114	24
85	110	21
86	108	22
87	108	30
88	111	44
89	117	63
90	128	83
91	140	103
92	153	122
93	167	135
94	177	143
95	185	143
96	188	137
97	187	126
98	181	112
99	171	96
100	159	83
101	146	72
102	133	66
103	123	65
104	115	67
105	110	74
106	109	82
107	111	89
108	114	94
109	118	94
110	121	91
111	121	82
112	121	69
113	117	54
114	111	39
115	104	26
116	97	16
117	91	15
118	88	18
119	89	28
120	94	44
121	103	64
122	116	85
123	130	104
124	146	121
125	160	132
126	172	136
127	179	136
128	182	131
129	182	121
130	177	109
131	170	98
132	160	90
133	150	87
134	142	88
135	135	92
136	131	100
137	131	110
138	132	119
139	135	125
140	138	125
141	139	123
142	139	113
143	135	99
144	129	81
145	120	62
146	109	44
147	98	30
148	88	22
149	81	21
150	77	24
151	78	36
152	83	53
153	93	70
154	106	89
155	121	105
156	136	117
157	149	124
158	159	125
159	166	122
160	168	116
161	168	107
162	164	100
163	158	95
164	152	94
165	147	98
166	144	105
167	143	117
168	145	130
169	148	143
170	153	152
171	157	156
172	160	156
173	160	149
174	157	136
175	150	118
176	140	98
177	127	78
178	113	60
179	100	47
180	88	39
181	79	39
182	75	44
183	76	55
184	81	69
185	90	85
186	101	98
187	114	108
188	126	114
189	136	114
190	144	113
191	147	106
192	148	98
193	147	92
194	144	88
195	141	88
196	138	93
197	138	104
198	140	119
199	145	136
200	152	151
201	161	166
202	168	177
203	175	179
204	178	178
205	178	169
206	173	154
207	164	136
208	152	117
209	137	97
210	122	82
211	108	72
212	96	68
213	87	69
