N	f/[kHz]	V/[dBV]
0	0.0031	-71.8
1	0.0519	-56.8
2	0.1007	-56.8
3	0.1495	-72.5
4	0.1984	-70.0
5	0.2472	-73.1
6	0.2960	-73.4
7	0.3448	-71.8
8	0.3937	-74.0
9	0.4425	-70.3
10	0.4913	-71.2
11	0.5402	-72.5
12	0.5890	-71.8
13	0.6378	-72.2
14	0.6866	-70.6
15	0.7355	-74.4
16	0.7843	-73.4
17	0.8331	-72.5
18	0.8820	-65.9
19	0.9308	-71.5
20	0.9796	-72.8
21	1.0284	-74.4
22	1.0773	-73.1
23	1.1261	-72.8
24	1.1749	-74.0
25	1.2238	-73.1
26	1.2726	-74.0
27	1.3214	-71.8
28	1.3702	-71.5
29	1.4191	-69.6
30	1.4679	-74.4
31	1.5167	-74.4
32	1.5656	-70.9
33	1.6144	-70.9
34	1.6632	-70.6
35	1.7120	-73.1
36	1.7609	-74.0
37	1.8097	-70.3
38	1.8585	-70.0
39	1.9073	-70.0
40	1.9562	-70.6
41	2.0050	-70.6
42	2.0538	-73.1
43	2.1027	-72.5
44	2.1515	-68.4
45	2.2003	-68.4
46	2.2491	-69.3
47	2.2980	-69.3
48	2.3468	-75.3
49	2.3956	-78.4
50	2.4445	-74.0
51	2.4933	-71.2
52	2.5421	-72.8
53	2.5909	-69.3
54	2.6398	-70.0
55	2.6886	-70.3
56	2.7374	-69.6
57	2.7863	-71.8
58	2.8351	-71.2
59	2.8839	-71.2
60	2.9327	-68.7
61	2.9816	-71.5
62	3.0304	-70.3
63	3.0792	-71.5
64	3.1281	-70.3
65	3.1769	-68.7
66	3.2257	-69.6
67	3.2745	-69.3
68	3.3234	-73.1
69	3.3722	-70.3
70	3.4210	-72.2
71	3.4698	-61.5
72	3.5187	-65.3
73	3.5675	-18.5
74	3.6163	-63.4
75	3.6652	-58.7
76	3.7140	-70.6
77	3.7628	-62.1
78	3.8116	-71.2
79	3.8605	-69.0
80	3.9093	-66.5
81	3.9581	-70.3
82	4.0070	-70.3
83	4.0558	-74.4
84	4.1046	-70.3
85	4.1534	-70.3
86	4.2023	-72.2
