
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2

0	120	120
1	120	112
2	120	102
3	120	99
4	122	101
5	123	111
6	124	125
7	127	143
8	129	159
9	131	174
10	133	185
11	136	192
12	138	192
13	139	189
14	140	182
15	141	173
16	141	165
17	141	159
18	140	157
19	139	159
20	137	166
21	136	177
22	134	189
23	132	202
24	131	213
25	129	218
26	127	218
27	126	213
28	125	200
29	123	182
30	122	161
31	121	140
32	120	121
33	118	106
34	118	97
35	118	96
36	118	99
37	119	109
38	120	122
39	121	136
40	124	149
41	126	159
42	128	163
43	131	163
44	133	159
45	135	152
46	137	143
47	138	135
48	139	130
49	140	129
50	140	133
51	140	142
52	139	155
53	139	171
54	138	188
55	137	202
56	136	213
57	135	216
58	133	216
59	132	207
60	130	194
61	128	175
62	126	155
63	124	136
64	123	120
65	121	108
66	119	102
67	118	102
68	117	107
69	117	116
70	117	126
71	118	136
72	120	143
73	122	145
74	124	144
75	126	138
76	128	128
77	130	116
78	132	106
79	133	98
80	135	96
81	136	98
82	137	107
83	138	122
84	138	139
85	139	159
86	139	177
87	139	193
88	139	203
89	139	204
90	138	203
91	137	193
92	136	179
93	134	162
94	132	145
95	129	131
96	127	120
97	124	113
98	122	112
99	120	115
100	119	121
101	118	129
102	118	137
103	117	141
104	118	141
105	120	138
106	120	128
107	122	116
108	123	101
109	125	87
110	126	76
111	128	68
112	129	67
113	131	73
114	132	85
115	134	101
116	135	121
117	137	141
118	138	158
119	139	173
120	140	181
121	141	182
122	141	179
123	141	169
124	140	157
125	138	143
126	136	131
127	134	121
128	132	117
129	129	117
130	127	122
131	125	129
132	123	138
133	121	145
134	120	149
135	119	149
136	119	144
137	119	133
138	119	118
139	120	100
140	120	82
141	121	66
142	122	54
143	123	47
144	123	48
145	125	56
146	127	69
147	129	86
148	131	104
149	133	122
150	135	137
151	137	148
152	139	151
153	140	151
154	141	147
155	142	137
156	142	127
157	141	118
158	140	111
159	138	109
160	136	111
161	134	118
162	132	128
163	130	139
164	128	150
165	127	157
166	125	158
167	124	155
168	123	147
169	121	131
170	121	112
171	120	91
172	120	71
173	119	54
174	118	43
175	119	38
176	120	40
177	120	48
178	122	61
179	123	76
180	125	92
181	128	105
182	130	115
183	133	120
184	135	120
185	137	115
186	139	108
187	140	99
188	141	92
189	141	88
190	141	87
191	140	92
192	139	101
193	138	114
194	136	129
195	135	143
196	134	154
197	132	161
198	131	161
199	129	156
200	128	145
201	126	128
202	125	107
203	123	86
204	121	67
205	120	52
206	118	42
207	118	40
208	117	43
209	117	51
210	118	62
211	119	75
212	121	86
213	123	93
214	125	95
215	128	94
216	130	88
217	132	80
218	134	70
219	136	61
220	137	57
221	138	56
222	139	61
223	139	72
224	139	87
225	139	104
226	139	123
227	139	139
228	138	151
229	137	156
230	136	156
231	135	149
232	133	136
233	131	119
234	129	100
235	128	83
236	125	67
237	123	57
238	120	51
239	119	52
240	118	56
241	117	64
242	116	73
243	117	81
244	118	86
245	119	86
246	121	82
247	123	74
248	125	62
249	127	49
250	129	38
251	131	29
252	132	27
253	133	28
254	135	37
255	136	52
256	137	71
257	138	91
258	139	110
259	140	127
260	140	138
261	140	142
262	140	141
263	140	133
264	138	121
265	137	105
266	135	90
267	133	77
268	130	68
269	127	63
270	125	64
271	123	68
272	121	75
273	120	83
274	119	89
275	118	91
276	118	91
277	118	86
278	119	74
279	120	59
280	121	43
281	122	27
282	123	14
283	125	6
284	126	5
285	128	9
286	129	20
287	131	37
288	133	56
289	135	76
290	137	94
291	138	108
292	140	117
293	141	118
294	142	116
295	142	108
296	141	97
297	141	86
298	139	75
299	137	69
300	135	67
301	132	68
302	130	75
303	128	85
304	126	93
305	124	102
306	123	106
307	121	106
308	121	101
309	120	88
310	120	73
311	119	53
312	119	33
313	119	16
314	119	2
315	120	0
316	121	0
317	122	1
318	124	13
319	125	29
320	128	47
321	130	64
322	132	79
323	135	87
324	137	91
325	139	91
326	140	86
327	141	78
328	141	69
329	141	61
330	141	57
331	140	58
332	139	62
333	137	71
334	135	83
335	133	96
336	132	108
337	130	117
338	128	119
339	127	117
340	125	108
341	124	93
342	123	75
343	121	53
344	120	33
345	119	15
346	118	3
347	118	0
348	118	0
349	118	5
350	119	17
351	120	31
352	122	45
353	125	57
354	127	65
355	130	68
356	132	67
357	134	62
358	136	54
359	138	45
360	139	38
361	140	35
362	140	36
363	140	42
364	140	54
365	139	69
366	139	87
367	138	103
368	137	116
369	135	124
370	134	125
371	133	121
372	131	110
373	129	94
374	127	76
375	125	56
376	123	38
377	121	23
378	120	14
379	118	12
380	117	14
381	117	21
382	117	31
383	118	41
384	119	51
385	120	56
386	122	56
387	124	55
388	127	46
389	129	36
390	131	25
391	133	16
392	134	11
393	136	11
394	137	17
395	137	28
396	138	45
397	139	64
398	139	84
399	140	102
400	140	115
401	139	123
402	139	123
403	138	117
404	137	106
405	135	91
406	133	74
407	131	58
408	128	45
409	126	36
410	123	32
411	121	33
412	119	38
413	118	46
414	117	54
415	117	61
416	117	63
417	118	63
418	119	57
419	121	46
420	122	33
421	124	19
422	126	6
423	127	0
424	129	0
425	130	0
426	132	3
427	133	18
428	135	37
429	136	58
430	138	78
431	139	94
432	140	107
433	141	112
434	141	112
435	141	106
436	141	95
437	139	83
438	138	69
439	136	58
440	133	51
441	131	50
442	128	51
443	126	58
444	124	66
445	122	75
446	121	82
447	119	84
448	119	83
449	119	75
450	119	63
451	119	47
452	120	29
453	120	11
454	121	0
455	122	0
456	123	0
457	124	0
458	126	0
459	128	15
460	130	34
461	132	53
462	134	71
463	136	85
464	138	93
465	140	94
466	141	93
467	142	87
468	142	77
469	142	68
470	141	60
471	139	56
472	138	56
473	135	61
474	133	70
475	131	81
476	129	92
477	128	102
478	126	107
479	124	107
480	123	102
481	122	89
482	121	74
483	120	53
484	120	33
485	119	15
486	119	0
487	119	0
488	119	0
489	120	0
490	121	7
491	122	21
492	124	38
493	127	54
494	129	67
495	132	75
496	134	77
497	137	76
498	138	70
499	140	64
500	141	56
501	141	50
502	141	48
503	141	50
504	140	57
505	139	69
506	137	83
507	136	98
508	135	112
509	133	122
510	132	126
511	130	125
512	129	118
513	127	103
514	125	85
515	124	65
516	122	45
517	120	27
518	119	15
519	118	9
520	117	9
521	117	16
522	117	26
523	118	38
524	120	51
525	122	61
526	124	68
527	127	68
528	129	66
529	131	59
530	133	50
531	135	41
532	136	34
533	138	33
534	139	34
535	139	42
536	140	56
537	140	73
538	140	92
539	139	110
540	139	125
541	138	135
542	137	137
543	136	136
544	134	126
545	133	111
546	131	94
547	128	76
548	126	59
549	124	46
550	122	38
551	120	37
552	118	39
553	117	46
554	117	55
555	117	64
556	117	72
557	119	75
558	120	75
559	122	69
560	124	59
561	126	48
562	128	35
563	130	25
564	131	19
565	133	19
566	134	25
567	135	38
568	137	55
569	138	75
570	139	96
571	140	115
572	140	130
573	140	138
574	140	139
575	140	137
576	140	127
577	138	113
578	136	98
579	134	85
580	131	74
581	129	67
582	126	66
583	124	67
584	122	74
585	120	82
586	119	90
587	118	96
588	118	97
589	118	95
590	118	87
591	120	76
592	121	61
593	122	45
594	123	30
595	124	19
596	125	15
597	127	16
598	129	25
599	130	39
600	132	57
601	134	78
602	136	98
603	137	115
604	139	127
605	141	134
606	141	134
607	142	129
608	142	120
609	141	109
610	140	98
611	138	89
612	136	85
613	134	85
614	132	90
615	129	98
616	127	109
617	125	119
618	124	126
619	122	128
620	121	127
621	120	119
622	120	106
623	120	88
624	120	70
625	119	51
626	119	35
627	120	25
628	121	22
629	122	24
630	123	34
631	125	49
632	127	66
633	129	85
634	131	100
635	133	113
636	136	121
637	138	122
638	139	120
639	141	114
640	142	106
641	142	99
642	142	92
643	141	91
644	140	93
645	138	100
646	136	112
647	135	125
648	133	138
649	131	150
650	129	157
651	128	157
652	126	153
653	125	142
654	123	125
655	122	105
656	121	85
657	120	66
658	119	52
659	118	42
660	118	41
661	118	44
662	119	54
663	120	68
664	121	83
665	124	96
666	126	107
667	128	114
668	131	114
669	133	112
670	135	105
671	137	98
672	138	90
673	140	86
674	140	85
675	140	88
676	140	98
677	140	111
678	139	129
679	138	146
680	137	160
681	136	173
682	135	178
683	134	178
684	132	171
685	130	159
686	129	142
687	127	123
688	125	104
689	122	88
690	121	76
691	119	70
692	118	71
693	117	76
694	117	85
695	117	95
696	118	106
697	119	115
698	122	118
699	124	118
700	126	113
701	128	104
702	130	93
703	132	84
704	134	77
705	135	75
706	136	77
707	137	86
708	138	100
709	139	119
710	139	139
711	140	158
712	140	175
713	140	186
714	139	190
715	139	189
716	137	181
717	136	168
718	134	152
719	132	136
720	130	122
721	127	111
722	125	104
723	123	103
724	121	107
725	119	114
726	118	123
727	117	131
728	118	137
729	118	137
730	119	135
731	120	127
732	122	116
733	123	102
734	125	89
735	126	78
736	128	71
737	130	70
738	131	75
739	132	87
740	134	104
741	136	126
742	137	150
743	139	168
744	140	183
745	141	191
746	142	192
747	142	189
748	141	179
749	140	167
750	139	153
751	137	143
752	135	135
753	132	132
754	130	133
755	127	139
756	125	147
757	123	156
758	122	163
759	121	168
760	120	168
761	119	163
762	119	153
763	119	138
764	120	121
765	120	103
766	121	89
767	122	78
768	122	74
769	123	75
770	125	85
771	127	99
772	129	117
773	131	136
774	133	154
775	135	169
776	137	180
777	139	184
778	141	184
779	142	179
780	142	170
781	142	161
782	141	153
783	140	148
784	138	147
785	136	150
786	134	158
787	132	168
788	130	181
789	128	192
790	127	199
791	125	200
792	124	199
793	123	189
794	122	174
795	121	155
796	120	135
797	119	116
798	119	101
799	119	90
800	119	88
801	119	91
802	120	100
803	122	114
804	123	131
805	125	147
806	128	160
807	131	170
808	133	175
809	135	175
810	137	170
811	139	163
812	140	155
813	141	149
814	141	146
815	141	147
816	140	153
817	139	163
818	138	177
819	137	193
820	135	208
821	134	219
822	132	226
823	131	226
824	130	221
825	128	210
826	126	193
827	124	173
828	123	153
829	121	135
830	120	121
831	118	113
832	118	112
833	117	117
834	117	126
835	118	138
836	120	151
837	121	162
838	123	169
839	126	171
840	128	170
841	130	164
842	133	156
843	135	147
844	136	140
845	137	136
846	139	137
847	139	143
848	140	154
849	140	171
850	140	189
851	139	209
852	139	225
853	139	236
854	138	242
855	136	242
856	135	234
857	134	221
858	132	204
859	129	187
860	127	169
861	125	156
862	122	147
863	120	143
864	119	144
865	118	150
866	117	158
867	117	168
868	117	176
869	119	181
870	120	181
871	121	178
872	123	169
873	125	158
874	127	146
875	129	135
876	131	127
877	132	126
878	134	129
879	135	139
880	136	154
881	137	174
882	138	195
883	139	215
884	140	231
885	140	242
886	140	246
887	140	245
888	140	236
889	138	224
890	137	209
891	135	194
892	132	182
893	130	175
894	127	172
895	125	173
896	123	179
897	121	186
898	120	195
899	119	201
900	118	204
901	118	204
902	119	198
903	120	187
904	120	172
905	122	156
906	123	142
907	124	129
908	125	122
909	126	122
910	128	128
911	130	140
912	131	157
913	133	176
914	135	197
915	137	214
916	138	229
917	140	237
918	141	238
919	142	236
920	142	228
921	141	217
922	140	206
923	139	197
924	137	190
925	135	189
926	132	192
927	130	199
928	127	210
929	126	220
930	124	229
931	123	233
932	122	233
933	121	227
934	120	215
935	120	199
936	120	180
937	120	161
938	120	144
939	120	132
940	121	126
941	121	127
942	123	134
943	124	147
944	126	163
945	128	181
946	130	198
947	132	211
948	135	220
949	137	223
950	139	223
951	140	218
952	141	210
953	141	201
954	141	195
955	141	191
956	140	192
957	138	197
958	137	208
959	135	220
960	133	233
961	132	246
962	130	255
963	128	255
964	127	255
965	125	246
966	124	231
967	123	212
968	122	191
969	121	171
970	119	154
971	119	143
972	118	140
973	118	141
974	118	149
975	119	160
976	121	174
977	123	189
978	125	201
979	127	209
980	130	210
981	132	208
982	134	203
983	136	195
