  Hz	 Vrms	dBV
100	0.022	-33.147
120	0.026	-31.659
140	0.030	-30.369
160	0.034	-29.245
180	0.039	-28.254
200	0.043	-27.392
220	0.047	-26.609
240	0.051	-25.848
260	0.055	-25.193
280	0.059	-24.548
300	0.063	-23.984
320	0.067	-23.463
340	0.071	-22.984
360	0.075	-22.501
380	0.079	-22.038
400	0.083	-21.643
420	0.087	-21.221
440	0.091	-20.821
460	0.095	-20.463
480	0.099	-20.129
500	0.103	-19.759
520	0.106	-19.455
540	0.110	-19.183
560	0.114	-18.835
580	0.118	-18.564
600	0.122	-18.306
620	0.126	-18.005
640	0.129	-17.766
660	0.133	-17.535
680	0.136	-17.314
700	0.140	-17.061
720	0.144	-16.836
740	0.148	-16.598
760	0.151	-16.408
780	0.155	-16.196
800	0.159	-15.999
820	0.162	-15.798
840	0.166	-15.604
860	0.170	-15.407
880	0.173	-15.230
900	0.177	-15.057
920	0.180	-14.904
940	0.184	-14.706
960	0.187	-14.562
980	0.190	-14.444
1000	0.193	-14.279
1020	0.195	-14.189
1220	0.228	-12.825
1420	0.259	-11.731
1620	0.286	-10.866
1820	0.313	-10.097
2020	0.334	-9.516
2220	0.358	-8.913
2420	0.379	-8.434
2620	0.394	-8.088
2820	0.412	-7.707
3020	0.427	-7.391
3220	0.439	-7.147
3420	0.451	-6.909
3620	0.464	-6.672
3820	0.472	-6.514
4020	0.481	-6.361
4220	0.489	-6.211
4420	0.498	-6.060
4620	0.505	-5.929
4820	0.511	-5.835
5020	0.517	-5.722
5220	0.523	-5.630
5420	0.532	-5.485
5620	0.533	-5.458
5820	0.538	-5.377
6020	0.544	-5.294
6220	0.549	-5.203
6420	0.554	-5.129
6620	0.557	-5.090
6820	0.560	-5.042
7020	0.563	-4.995
7220	0.564	-4.977
7420	0.567	-4.933
7620	0.570	-4.880
7820	0.572	-4.857
8020	0.573	-4.844
8220	0.577	-4.780
8420	0.578	-4.754
8620	0.578	-4.764
8820	0.582	-4.701
9020	0.583	-4.689
9220	0.583	-4.693
9420	0.585	-4.651
9620	0.586	-4.640
9820	0.587	-4.624
10020	0.588	-4.615
12020	0.596	-4.489
14020	0.604	-4.382
16020	0.609	-4.308
18020	0.610	-4.294
20020	0.611	-4.282
22020	0.615	-4.224
24020	0.612	-4.265
26020	0.615	-4.221
28020	0.618	-4.184
30020	0.617	-4.189
32020	0.619	-4.165
34020	0.622	-4.124
36020	0.621	-4.142
38020	0.621	-4.141
40020	0.620	-4.158
42020	0.620	-4.154
44020	0.620	-4.148
46020	0.620	-4.149
48020	0.619	-4.167
50020	0.617	-4.201
52020	0.623	-4.115
54020	0.620	-4.159
56020	0.626	-4.074
58020	0.624	-4.092
60020	0.623	-4.115
62020	0.621	-4.141
64020	0.624	-4.100
66020	0.622	-4.123
68020	0.626	-4.067
70020	0.624	-4.103
72020	0.620	-4.157
74020	0.616	-4.210
76020	0.590	-4.581
78020	0.584	-4.672
80020	0.595	-4.514
82020	0.601	-4.424
84020	0.602	-4.412
86020	0.621	-4.145
88020	0.620	-4.151
90020	0.619	-4.169
92020	0.619	-4.163
94020	0.619	-4.168
96020	0.622	-4.119
98020	0.620	-4.146
100020	0.606	-4.357
