
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2

0	116	63
1	131	70
2	144	87
3	148	98
4	147	100
5	141	99
6	139	99
7	140	103
8	147	115
9	153	127
10	153	133
11	143	131
12	127	115
13	110	94
14	101	76
15	102	71
16	113	73
17	127	83
18	136	93
19	137	96
20	135	96
21	132	94
22	133	96
23	142	107
24	153	125
25	161	142
26	161	149
27	150	148
28	132	133
29	116	114
30	108	99
31	109	95
32	117	96
33	126	103
34	128	104
35	126	101
36	121	94
37	120	92
38	127	94
39	141	109
40	156	131
41	165	151
42	165	159
43	153	158
44	137	147
45	124	133
46	119	124
47	120	123
48	126	126
49	127	126
50	125	123
51	117	111
52	110	98
53	110	94
54	119	96
55	137	114
56	154	136
57	162	154
58	161	162
59	151	161
60	139	153
61	131	147
62	131	146
63	134	151
64	135	153
65	133	152
66	123	142
67	110	124
68	102	107
69	103	102
70	115	105
71	133	121
72	149	141
73	155	155
74	154	159
75	147	158
76	139	156
77	138	157
78	142	164
79	148	175
80	148	179
81	141	177
82	126	163
83	110	143
84	101	125
85	102	119
86	113	121
87	128	133
88	140	146
89	143	154
90	142	154
91	137	154
92	136	154
93	141	162
94	151	177
95	157	192
96	157	198
97	147	197
98	130	182
99	113	162
100	104	146
101	105	139
102	115	141
103	125	149
104	131	154
105	131	154
106	127	152
107	126	150
108	129	151
109	141	164
110	155	183
111	163	202
112	163	211
113	151	209
114	134	196
115	120	180
116	113	167
117	114	164
118	121	166
119	126	168
120	126	168
121	121	161
122	115	151
123	114	147
124	122	149
125	138	164
126	154	186
127	164	206
128	164	215
129	153	214
130	139	205
131	128	194
132	125	188
133	126	189
134	131	192
135	131	192
136	124	185
137	113	170
138	105	154
139	104	148
140	114	149
141	132	165
142	150	186
143	157	203
144	157	211
145	149	211
146	139	205
147	134	202
148	135	203
149	140	210
150	141	215
151	137	214
152	125	202
153	110	183
154	100	164
155	100	155
156	111	156
157	127	169
158	141	186
159	148	198
160	147	202
161	141	201
162	137	200
163	138	202
164	145	213
165	152	226
166	152	232
167	145	231
168	129	217
169	113	197
170	101	177
171	101	167
172	110	168
173	124	178
174	134	188
175	135	192
176	134	192
177	130	189
178	131	189
179	140	199
180	150	215
181	159	232
182	159	241
183	150	241
184	133	227
185	117	208
186	107	191
187	107	185
188	115	186
189	123	190
190	126	191
191	125	190
192	120	182
193	119	177
194	123	178
195	136	191
196	152	211
197	162	231
198	162	242
199	153	242
200	138	230
201	124	216
202	117	205
203	118	203
204	123	204
205	125	205
206	124	201
207	116	190
208	108	176
209	107	168
210	115	169
211	131	183
212	148	203
213	159	223
214	159	233
215	152	233
216	139	225
217	130	217
218	129	215
219	131	216
220	133	220
221	132	220
222	124	211
223	111	193
224	101	175
225	100	163
226	108	164
227	125	176
228	142	195
229	152	211
230	152	217
231	145	217
232	138	213
233	136	212
234	138	216
235	143	225
236	144	231
237	140	231
238	127	218
239	110	198
240	99	178
241	98	165
242	106	165
243	121	175
244	134	187
245	140	197
246	140	198
247	134	196
248	133	195
249	136	199
250	145	212
251	153	226
252	154	235
253	147	235
254	132	222
255	114	202
256	102	183
257	101	171
258	108	170
259	119	177
260	128	183
261	128	183
262	126	180
263	123	174
264	124	174
265	134	183
266	147	201
267	158	219
268	159	231
269	152	231
270	136	219
271	120	202
272	110	187
273	109	179
274	115	179
275	122	182
276	123	182
277	119	175
278	113	163
279	111	154
280	115	154
281	129	166
282	146	185
283	158	206
284	160	217
285	153	218
286	139	209
287	127	197
288	121	189
289	122	188
290	126	189
291	127	189
292	123	183
293	113	169
294	103	152
295	101	140
296	107	139
297	123	151
298	141	169
299	154	187
300	155	197
301	148	197
302	138	192
303	131	185
304	131	185
305	135	190
306	137	195
307	136	195
308	125	185
309	110	165
310	98	145
311	96	131
312	103	130
313	118	138
314	134	153
315	144	166
316	144	171
317	139	171
318	134	167
319	134	168
320	139	175
321	146	187
322	148	196
323	144	196
324	130	184
325	112	163
326	99	142
327	97	128
328	104	126
329	116	133
330	128	142
331	132	147
332	132	147
333	128	143
334	127	142
335	133	147
336	144	160
337	154	177
338	156	189
339	151	190
340	135	179
341	118	159
342	105	141
343	104	129
344	108	128
345	118	131
346	123	134
347	123	133
348	118	124
349	116	117
350	119	116
351	129	124
352	144	141
353	157	161
354	159	175
355	154	175
356	139	166
357	124	152
358	114	138
359	114	132
360	118	132
361	122	133
