N	f/[kHz]	V/[dBV]
0	0.0031	-40.7
1	0.0519	-2.7
2	0.1007	-2.7
3	0.1495	-46.0
4	0.1984	-49.8
5	0.2472	-51.6
6	0.2960	-53.8
7	0.3448	-53.2
8	0.3937	-55.4
9	0.4425	-58.8
10	0.4913	-57.9
11	0.5402	-59.8
12	0.5890	-53.8
13	0.6378	-57.9
14	0.6866	-60.7
15	0.7355	-59.2
16	0.7843	-61.0
17	0.8331	-60.4
18	0.8820	-60.1
19	0.9308	-60.4
20	0.9796	-57.6
21	1.0284	-59.5
22	1.0773	-57.9
23	1.1261	-63.2
24	1.1749	-60.7
25	1.2238	-62.3
26	1.2726	-61.0
27	1.3214	-62.0
28	1.3702	-59.5
29	1.4191	-57.3
30	1.4679	-62.9
31	1.5167	-61.7
32	1.5656	-59.2
33	1.6144	-62.3
34	1.6632	-61.7
35	1.7120	-61.0
36	1.7609	-59.8
37	1.8097	-59.8
38	1.8585	-63.9
39	1.9073	-60.7
40	1.9562	-59.2
41	2.0050	-62.0
42	2.0538	-58.8
43	2.1027	-58.8
44	2.1515	-62.9
45	2.2003	-62.0
46	2.2491	-60.4
47	2.2980	-59.2
48	2.3468	-59.8
49	2.3956	-59.8
50	2.4445	-64.2
51	2.4933	-62.3
52	2.5421	-59.8
53	2.5909	-57.3
54	2.6398	-61.4
55	2.6886	-61.7
56	2.7374	-63.9
57	2.7863	-61.7
58	2.8351	-58.8
59	2.8839	-58.5
60	2.9327	-59.8
61	2.9816	-58.8
62	3.0304	-60.1
63	3.0792	-60.7
64	3.1281	-58.2
65	3.1769	-56.3
66	3.2257	-57.3
67	3.2745	-51.9
68	3.3234	-55.7
69	3.3722	-50.7
70	3.4210	-51.6
71	3.4698	-40.7
72	3.5187	-43.5
73	3.5675	5.8
74	3.6163	-38.5
75	3.6652	-35.6
76	3.7140	-50.7
77	3.7628	-36.3
78	3.8116	-47.6
79	3.8605	-43.5
80	3.9093	-47.9
81	3.9581	-51.9
82	4.0070	-51.9
83	4.0558	-51.9
84	4.1046	-51.9
85	4.1534	-54.8
86	4.2023	-54.8
87	4.2511	-54.8
88	4.2999	-54.8
89	4.3488	-61.0
90	4.3976	-53.2
91	4.4464	-60.7
92	4.4952	-57.6
93	4.5441	-62.9
94	4.5929	-59.5
95	4.6417	-62.6
96	4.6906	-58.8
97	4.7394	-63.6
98	4.7882	-63.2
99	4.8370	-59.8
100	4.8859	-58.8
101	4.9347	-62.6
102	4.9835	-65.8
103	5.0323	-61.0
104	5.0812	-58.2
105	5.1300	-59.8
106	5.1788	-63.6
107	5.2277	-58.5
108	5.2765	-56.3
109	5.3253	-62.6
110	5.3741	-59.2
111	5.4230	-64.5
112	5.4718	-61.0
113	5.5206	-67.0
114	5.5695	-65.4
115	5.6183	-63.6
116	5.6671	-62.6
117	5.7159	-61.4
118	5.7648	-60.7
119	5.8136	-63.9
120	5.8624	-60.1
121	5.9113	-66.1
122	5.9601	-64.2
123	6.0089	-63.6
124	6.0577	-61.0
125	6.1066	-64.5
126	6.1554	-61.4
127	6.2042	-58.5
128	6.2531	-58.5
129	6.3019	-63.2
130	6.3507	-59.2
131	6.3995	-59.2
132	6.4484	-61.4
133	6.4972	-57.0
134	6.5460	-61.0
135	6.5948	-62.3
136	6.6437	-62.9
137	6.6925	-54.5
138	6.7413	-62.3
139	6.7902	-62.6
140	6.8390	-62.9
141	6.8878	-57.9
142	6.9366	-63.2
143	6.9855	-62.3
144	7.0343	-65.4
145	7.0831	-55.7
146	7.1320	-64.5
147	7.1808	-55.4
148	7.2296	-64.2
149	7.2784	-54.5
150	7.3273	-59.8
