
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 1.5V~
CH2:  32 = 0.5V~

N	CH1	CH2

0	73	117
1	80	99
2	100	97
3	123	96
4	146	98
5	163	108
6	174	123
7	176	134
8	175	134
9	165	123
10	151	103
11	131	84
12	110	72
13	89	73
14	72	82
15	61	92
16	59	96
17	65	95
18	79	91
19	98	91
20	120	100
21	141	117
22	159	135
23	173	149
24	181	149
25	181	139
26	176	121
27	162	104
28	144	97
29	121	97
30	98	103
31	80	105
32	68	104
33	65	95
34	68	89
35	79	88
36	95	101
37	114	121
38	135	142
39	156	156
40	172	157
41	185	149
42	187	136
43	184	127
44	172	125
45	153	127
46	131	129
47	109	128
48	91	118
49	78	104
50	71	92
51	71	92
52	78	106
53	91	128
54	110	148
55	132	159
56	154	159
57	173	153
58	188	146
59	192	145
60	191	151
61	179	156
62	163	156
63	143	149
64	122	133
65	103	114
66	87	102
67	77	103
68	75	115
69	77	134
70	88	150
71	107	157
72	129	157
73	153	153
74	174	153
75	188	159
76	195	170
77	195	181
78	187	181
79	174	170
80	156	151
81	136	131
82	115	119
83	96	119
84	82	130
85	76	143
86	77	151
87	87	152
88	107	152
89	127	151
90	150	156
91	171	169
92	186	186
93	196	199
94	198	199
95	196	190
96	185	171
97	169	152
98	148	142
99	125	142
100	104	149
101	88	156
102	80	156
103	81	152
104	89	146
105	105	147
106	124	156
107	145	174
108	165	195
109	183	209
110	197	210
111	204	201
112	204	186
113	195	172
114	178	166
115	157	167
116	134	172
117	113	172
118	96	165
119	87	154
120	86	145
121	90	144
122	102	155
123	119	176
124	139	197
125	160	211
126	181	212
127	198	205
128	207	195
129	208	190
130	201	190
131	186	194
132	166	195
133	145	192
134	124	178
135	107	161
136	95	149
137	89	148
138	90	158
139	99	177
140	114	197
141	134	208
142	157	208
143	179	204
144	197	199
145	208	200
146	209	209
147	205	217
148	193	218
149	176	211
150	157	192
151	137	172
152	118	158
153	102	157
154	93	166
155	91	181
156	96	193
157	110	199
158	130	199
159	152	196
160	174	197
161	192	206
162	205	219
163	209	232
164	208	233
165	200	225
166	186	206
167	168	185
168	147	171
169	125	170
170	108	177
171	96	187
172	93	191
173	96	191
174	108	187
175	126	186
176	146	191
177	167	206
178	186	225
179	200	239
180	209	240
181	210	233
182	207	216
183	195	199
184	177	188
185	156	187
186	133	192
187	113	194
188	100	193
189	95	185
190	97	176
191	106	175
192	120	183
193	139	201
194	158	223
195	178	237
196	196	239
197	209	232
198	213	219
199	212	209
200	201	205
201	183	206
202	162	208
203	140	207
204	121	197
205	106	182
206	98	169
207	97	167
208	102	175
209	113	194
210	130	215
211	150	229
212	172	230
213	192	225
214	207	216
215	213	214
216	213	216
217	204	221
218	188	223
219	169	218
220	149	202
221	130	183
222	113	167
223	101	165
224	96	172
225	97	188
226	106	205
227	122	214
228	142	214
229	165	211
230	186	209
231	202	212
232	210	221
233	211	232
234	206	234
235	194	227
236	178	208
237	158	185
238	138	169
239	118	167
240	103	172
241	93	185
242	92	194
243	100	195
244	115	194
245	135	192
246	157	194
247	177	204
248	193	220
249	205	233
250	209	235
251	208	229
252	199	211
253	184	190
254	164	176
255	143	174
256	121	177
257	103	184
258	93	185
259	91	181
260	96	173
261	109	171
262	126	176
263	146	192
264	166	212
265	184	227
266	199	229
267	207	223
268	208	208
269	202	192
270	189	183
271	169	182
272	146	185
273	124	185
274	106	181
275	94	169
276	91	156
277	92	153
278	101	158
279	116	177
280	135	198
281	155	213
282	175	215
283	193	210
284	205	198
285	206	190
286	203	189
287	190	191
288	172	192
289	150	189
290	129	177
291	110	158
292	97	144
293	88	141
294	87	145
295	92	161
296	104	180
297	123	192
298	144	193
299	166	190
300	186	184
301	199	183
302	202	187
303	201	196
304	191	197
305	175	192
306	156	175
307	135	153
308	116	136
309	98	133
310	85	136
311	82	149
312	84	162
313	95	169
314	113	169
315	134	165
316	157	164
317	176	170
318	190	181
319	198	193
320	198	196
321	192	191
322	179	172
323	161	151
324	141	133
325	119	129
326	98	132
327	83	141
328	77	146
329	78	146
330	87	142
331	104	139
332	124	141
333	145	153
334	164	169
335	180	184
336	191	187
337	194	183
338	192	166
339	182	148
340	165	134
341	143	130
342	120	132
343	99	136
344	82	135
345	74	128
346	73	117
347	81	114
348	94	117
349	111	132
350	132	152
351	152	169
352	170	172
353	185	168
354	192	155
355	192	143
356	183	135
357	166	135
358	145	136
359	122	136
360	101	127
361	84	113
362	73	98
363	71	94
364	73	97
365	83	112
366	98	133
367	118	148
368	141	151
369	161	149
370	178	139
371	188	133
372	188	133
373	181	138
374	167	139
375	147	137
376	126	122
377	105	101
378	87	85
379	73	79
380	65	82
381	65	96
382	72	113
383	87	124
384	107	125
385	131	123
386	152	119
387	170	119
388	180	127
389	181	137
390	179	140
391	168	137
392	151	120
393	131	97
394	110	79
395	90	73
396	73	75
397	61	86
398	59	96
399	64	99
400	78	98
401	98	95
402	119	95
403	141	103
404	158	117
405	171	131
406	177	135
407	177	133
408	170	116
409	156	94
410	136	77
411	114	71
412	91	73
413	71	80
414	59	82
415	56	80
416	59	73
417	70	68
418	87	70
419	107	84
420	128	102
421	147	120
422	163	124
423	173	122
424	175	109
425	172	91
426	158	79
427	139	77
428	116	78
429	93	79
430	73	77
431	59	66
432	53	54
433	54	48
434	63	50
435	76	65
436	94	87
437	115	104
438	137	109
439	155	107
440	169	96
441	173	86
442	171	83
443	160	84
444	141	86
445	120	85
446	98	75
447	78	59
448	62	41
449	52	33
450	51	36
451	54	51
452	66	71
453	84	86
454	105	89
455	128	88
456	148	81
457	163	79
458	169	81
459	169	89
460	160	92
461	144	90
462	126	76
463	104	55
464	84	36
465	66	27
466	52	29
467	46	42
468	47	57
469	57	66
470	75	67
471	96	66
472	119	64
473	140	67
474	156	78
475	165	91
476	165	97
477	161	95
478	149	79
479	133	57
480	112	38
481	90	30
482	69	32
483	53	41
484	44	50
485	44	51
486	52	48
487	69	45
488	88	45
489	110	55
490	130	71
491	147	89
492	159	96
493	164	95
494	164	81
495	155	61
496	139	46
497	118	40
498	95	41
499	73	46
500	55	46
501	45	42
502	44	33
503	49	27
504	62	29
505	80	43
506	99	63
507	120	83
