  Hz	 Vrms	dBV
1000	0.023	-32.804
1100	0.025	-32.011
1200	0.028	-31.128
1300	0.030	-30.323
1400	0.033	-29.527
1500	0.036	-28.798
1600	0.039	-28.075
1700	0.043	-27.347
1800	0.047	-26.637
1900	0.050	-25.956
2000	0.054	-25.301
2100	0.059	-24.567
2200	0.064	-23.922
2300	0.069	-23.224
2400	0.075	-22.546
2500	0.081	-21.825
2600	0.088	-21.073
2700	0.096	-20.377
2800	0.105	-19.575
2900	0.114	-18.852
3000	0.125	-18.054
3100	0.136	-17.326
3200	0.150	-16.491
3300	0.164	-15.679
3400	0.179	-14.929
3500	0.195	-14.221
3600	0.209	-13.592
3700	0.221	-13.102
3800	0.231	-12.738
3900	0.235	-12.597
4000	0.234	-12.623
4100	0.227	-12.863
4200	0.219	-13.192
4300	0.209	-13.585
4400	0.198	-14.084
4500	0.187	-14.562
4600	0.177	-15.058
4700	0.167	-15.571
4800	0.157	-16.083
4900	0.148	-16.581
5000	0.141	-17.024
5100	0.134	-17.448
5200	0.127	-17.938
5300	0.121	-18.380
5400	0.115	-18.794
5500	0.110	-19.138
5600	0.106	-19.491
5700	0.102	-19.829
5800	0.098	-20.197
5900	0.094	-20.547
6000	0.091	-20.832
6100	0.088	-21.147
6200	0.085	-21.454
6300	0.082	-21.732
6400	0.079	-22.001
6500	0.077	-22.226
6600	0.075	-22.499
6700	0.073	-22.755
6800	0.071	-22.978
6900	0.069	-23.234
7000	0.067	-23.437
7100	0.066	-23.653
7200	0.064	-23.879
7300	0.063	-24.073
7400	0.061	-24.253
7500	0.060	-24.468
7600	0.059	-24.632
7700	0.057	-24.849
7800	0.056	-24.992
7900	0.055	-25.180
8000	0.054	-25.334
8100	0.053	-25.515
8200	0.052	-25.662
8300	0.051	-25.819
8400	0.050	-25.981
8500	0.049	-26.138
8600	0.049	-26.279
8700	0.048	-26.426
8800	0.047	-26.563
8900	0.046	-26.721
9000	0.045	-26.862
9100	0.045	-26.978
9200	0.044	-27.108
9300	0.043	-27.274
9400	0.043	-27.404
9500	0.042	-27.509
9600	0.041	-27.639
9700	0.041	-27.740
9800	0.040	-27.881
9900	0.040	-28.058
10000	0.039	-28.160
  Hz	 Vrms	dBV
1000	0.316	-9.996
1100	0.320	-9.897
1200	0.326	-9.746
1300	0.331	-9.616
1400	0.337	-9.460
1500	0.342	-9.330
1600	0.350	-9.119
1700	0.358	-8.930
1800	0.366	-8.740
1900	0.375	-8.512
