N	f/[kHz]	V/[dBV]
0	0.0031	-35.8
1	0.0519	-2.8
2	0.1007	-2.8
3	0.1495	-47.7
4	0.1984	-47.1
5	0.2472	-55.2
6	0.2960	-56.5
7	0.3448	-56.5
8	0.3937	-57.4
9	0.4425	-59.9
10	0.4913	-61.2
11	0.5402	-61.8
12	0.5890	-62.7
13	0.6378	-62.1
14	0.6866	-61.5
15	0.7355	-60.5
16	0.7843	-65.9
17	0.8331	-64.0
18	0.8820	-62.1
19	0.9308	-64.3
20	0.9796	-62.7
21	1.0284	-64.9
22	1.0773	-65.9
23	1.1261	-64.3
24	1.1749	-64.3
25	1.2238	-56.5
26	1.2726	-56.5
27	1.3214	-64.6
28	1.3702	-64.6
29	1.4191	-61.5
30	1.4679	-64.9
31	1.5167	-67.8
32	1.5656	-50.8
33	1.6144	-69.0
34	1.6632	-67.8
35	1.7120	-66.2
36	1.7609	-69.3
37	1.8097	-65.3
38	1.8585	-64.3
39	1.9073	-64.3
40	1.9562	-64.6
41	2.0050	-68.7
42	2.0538	-67.5
43	2.1027	-65.3
44	2.1515	-66.8
45	2.2003	-66.2
46	2.2491	-64.6
47	2.2980	-67.8
48	2.3468	-66.8
49	2.3956	-69.6
50	2.4445	-66.8
51	2.4933	-68.4
52	2.5421	-68.1
53	2.5909	-68.1
54	2.6398	-67.8
55	2.6886	-66.8
56	2.7374	-65.3
57	2.7863	-68.4
58	2.8351	-70.0
59	2.8839	-70.0
60	2.9327	-67.8
61	2.9816	-68.4
62	3.0304	-64.9
63	3.0792	-67.1
64	3.1281	-67.5
65	3.1769	-67.1
66	3.2257	-69.3
67	3.2745	-61.5
68	3.3234	-65.9
69	3.3722	-66.5
70	3.4210	-67.8
71	3.4698	-64.3
72	3.5187	-67.5
73	3.5675	-23.8
74	3.6163	-64.3
75	3.6652	-67.8
76	3.7140	-66.8
77	3.7628	-62.1
78	3.8116	-66.2
79	3.8605	-66.2
80	3.9093	-67.5
81	3.9581	-67.5
82	4.0070	-70.3
83	4.0558	-67.8
84	4.1046	-68.7
85	4.1534	-68.7
86	4.2023	-69.0
87	4.2511	-65.9
88	4.2999	-68.7
89	4.3488	-69.3
90	4.3976	-69.3
91	4.4464	-68.7
92	4.4952	-65.9
93	4.5441	-69.0
94	4.5929	-68.4
95	4.6417	-67.5
96	4.6906	-69.6
97	4.7394	-66.8
98	4.7882	-68.1
99	4.8370	-69.6
100	4.8859	-71.2
101	4.9347	-71.2
102	4.9835	-67.8
103	5.0323	-63.1
104	5.0812	-63.1
105	5.1300	-68.7
106	5.1788	-67.5
107	5.2277	-68.1
108	5.2765	-67.5
109	5.3253	-68.7
110	5.3741	-67.8
111	5.4230	-72.8
112	5.4718	-65.3
113	5.5206	-65.6
114	5.5695	-66.2
115	5.6183	-66.2
116	5.6671	-67.5
117	5.7159	-69.3
118	5.7648	-68.7
119	5.8136	-64.6
120	5.8624	-67.1
121	5.9113	-65.9
122	5.9601	-70.3
123	6.0089	-70.3
124	6.0577	-68.4
125	6.1066	-67.5
126	6.1554	-67.5
127	6.2042	-66.2
128	6.2531	-67.5
129	6.3019	-64.3
130	6.3507	-64.3
131	6.3995	-67.5
132	6.4484	-64.9
133	6.4972	-64.9
134	6.5460	-65.9
135	6.5948	-67.8
136	6.6437	-70.6
137	6.6925	-66.5
138	6.7413	-69.3
139	6.7902	-65.3
140	6.8390	-68.1
141	6.8878	-69.6
142	6.9366	-71.8
143	6.9855	-65.6
144	7.0343	-69.0
145	7.0831	-64.3
146	7.1320	-66.8
147	7.1808	-66.5
148	7.2296	-69.3
149	7.2784	-65.6
150	7.3273	-64.9
151	7.3761	-64.9
152	7.4249	-72.8
153	7.4738	-68.1
154	7.5226	-64.3
155	7.5714	-64.0
156	7.6202	-68.7
157	7.6691	-67.5
158	7.7179	-67.1
159	7.7667	-59.3
160	7.8156	-63.1
161	7.8644	-52.7
162	7.9132	-62.1
163	7.9620	-17.3
164	8.0109	-29.5
165	8.0597	-52.4
166	8.1085	-57.1
167	8.1573	-65.6
168	8.2062	-65.6
169	8.2550	-59.6
170	8.3038	-59.6
171	8.3527	-66.2
172	8.4015	-65.3
173	8.4503	-70.0
174	8.4991	-64.6
175	8.5480	-67.8
176	8.5968	-67.8
177	8.6456	-68.7
178	8.6945	-66.5
179	8.7433	-67.5
180	8.7921	-66.8
181	8.8409	-67.1
182	8.8898	-64.3
183	8.9386	-66.5
184	8.9874	-72.2
185	9.0363	-70.0
186	9.0851	-68.1
187	9.1339	-66.8
188	9.1827	-67.5
189	9.2316	-67.5
190	9.2804	-67.5
191	9.3292	-67.1
192	9.3781	-70.3
193	9.4269	-67.5
194	9.4757	-65.6
195	9.5245	-67.5
196	9.5734	-68.4
197	9.6222	-70.0
198	9.6710	-69.3
199	9.7198	-70.0
200	9.7687	-65.6
201	9.8175	-65.6
202	9.8663	-67.1
203	9.9152	-67.5
204	9.9640	-67.5
205	10.0128	-66.2
206	10.0616	-70.3
207	10.1105	-68.4
208	10.1593	-68.1
209	10.2081	-66.2
210	10.2570	-66.8
211	10.3058	-65.6
212	10.3546	-68.7
213	10.4034	-68.4
214	10.4523	-68.1
215	10.5011	-65.6
216	10.5499	-66.8
217	10.5988	-66.5
218	10.6476	-67.1
219	10.6964	-65.6
220	10.7452	-66.8
221	10.7941	-68.4
222	10.8429	-69.0
223	10.8917	-66.2
224	10.9406	-72.8
225	10.9894	-65.6
226	11.0382	-67.5
227	11.0870	-64.9
228	11.1359	-68.4
229	11.1847	-66.2
230	11.2335	-72.2
231	11.2823	-66.5
232	11.3312	-67.5
233	11.3800	-65.3
234	11.4288	-69.6
235	11.4777	-69.3
236	11.5265	-69.0
237	11.5753	-66.5
238	11.6241	-68.1
239	11.6730	-68.7
240	11.7218	-68.1
241	11.7706	-67.1
242	11.8195	-67.1
243	11.8683	-64.6
244	11.9171	-64.6
245	11.9659	-67.1
246	12.0148	-69.3
247	12.0636	-69.0
248	12.1124	-69.6
249	12.1613	-66.5
