  Hz	 Vrms	dBV
100	0.661	-3.597
120	0.658	-3.634
140	0.658	-3.639
160	0.656	-3.662
180	0.658	-3.641
200	0.656	-3.668
220	0.657	-3.654
240	0.657	-3.651
260	0.656	-3.657
280	0.653	-3.698
300	0.636	-3.933
320	0.652	-3.714
340	0.650	-3.746
360	0.651	-3.723
380	0.650	-3.740
400	0.648	-3.770
420	0.649	-3.760
440	0.647	-3.779
460	0.645	-3.804
480	0.647	-3.784
500	0.646	-3.792
520	0.644	-3.826
540	0.646	-3.800
560	0.641	-3.862
580	0.641	-3.858
600	0.641	-3.857
620	0.638	-3.905
640	0.638	-3.897
660	0.639	-3.894
680	0.635	-3.945
700	0.636	-3.933
720	0.635	-3.940
740	0.632	-3.981
760	0.633	-3.977
780	0.631	-3.996
800	0.629	-4.028
820	0.629	-4.022
840	0.628	-4.044
860	0.626	-4.066
880	0.626	-4.074
900	0.623	-4.105
920	0.623	-4.116
940	0.621	-4.135
960	0.619	-4.164
980	0.617	-4.187
1000	0.616	-4.208
1020	0.618	-4.180
1220	0.602	-4.413
1420	0.588	-4.612
1620	0.570	-4.880
1820	0.554	-5.134
2020	0.541	-5.340
2220	0.521	-5.671
2420	0.503	-5.974
2620	0.487	-6.257
2820	0.472	-6.523
3020	0.460	-6.749
3220	0.444	-7.062
3420	0.429	-7.349
3620	0.415	-7.637
3820	0.403	-7.898
4020	0.390	-8.177
4220	0.380	-8.413
4420	0.368	-8.695
4620	0.357	-8.944
4820	0.346	-9.213
5020	0.336	-9.466
5220	0.326	-9.728
5420	0.319	-9.935
5620	0.308	-10.221
5820	0.302	-10.413
6020	0.293	-10.657
6220	0.286	-10.873
6420	0.279	-11.090
6620	0.271	-11.341
6820	0.266	-11.516
7020	0.259	-11.726
7220	0.253	-11.937
7420	0.249	-12.093
7620	0.242	-12.340
7820	0.237	-12.520
8020	0.231	-12.735
8220	0.227	-12.892
8420	0.222	-13.090
8620	0.218	-13.247
8820	0.213	-13.425
9020	0.209	-13.593
9220	0.205	-13.783
9420	0.202	-13.911
9620	0.197	-14.111
9820	0.192	-14.320
10020	0.190	-14.437
12020	0.160	-15.899
14020	0.139	-17.158
16020	0.123	-18.227
18020	0.109	-19.228
20020	0.099	-20.129
22020	0.090	-20.877
24020	0.083	-21.615
26020	0.077	-22.274
28020	0.071	-22.940
30020	0.067	-23.492
32020	0.063	-24.041
34020	0.059	-24.556
36020	0.056	-25.010
38020	0.053	-25.475
40020	0.051	-25.923
42020	0.048	-26.365
44020	0.046	-26.750
46020	0.044	-27.162
48020	0.042	-27.530
50020	0.041	-27.784
52020	0.039	-28.195
54020	0.037	-28.547
56020	0.036	-28.765
58020	0.035	-29.077
60020	0.034	-29.320
62020	0.033	-29.708
64020	0.032	-29.920
66020	0.031	-30.140
68020	0.030	-30.419
70020	0.029	-30.705
72020	0.029	-30.887
74020	0.028	-31.151
76020	0.027	-31.405
78020	0.026	-31.626
80020	0.026	-31.844
82020	0.025	-32.081
84020	0.024	-32.316
86020	0.012	-38.259
88020	0.013	-38.001
90020	0.013	-37.695
92020	0.013	-37.588
94020	0.013	-37.930
96020	0.013	-37.882
98020	0.012	-38.180
100020	0.012	-38.109
