N	f/[kHz]	V/[dBV]
0	0.0031	-33.6
1	0.0519	-2.8
2	0.1007	-2.8
3	0.1495	-47.7
4	0.1984	-49.9
5	0.2472	-56.8
6	0.2960	-57.1
7	0.3448	-60.5
8	0.3937	-60.2
9	0.4425	-60.5
10	0.4913	-59.9
11	0.5402	-64.3
12	0.5890	-56.8
13	0.6378	-61.8
14	0.6866	-64.6
15	0.7355	-63.4
16	0.7843	-60.9
17	0.8331	-64.3
18	0.8820	-64.6
19	0.9308	-65.3
20	0.9796	-65.3
21	1.0284	-64.6
22	1.0773	-64.6
23	1.1261	-63.4
24	1.1749	-57.7
25	1.2238	-64.9
26	1.2726	-64.9
27	1.3214	-67.8
28	1.3702	-65.3
29	1.4191	-67.5
30	1.4679	-52.4
31	1.5167	-65.6
32	1.5656	-65.6
33	1.6144	-64.6
34	1.6632	-63.4
35	1.7120	-64.9
36	1.7609	-64.9
37	1.8097	-63.7
38	1.8585	-65.9
39	1.9073	-66.5
40	1.9562	-68.1
41	2.0050	-64.9
42	2.0538	-64.6
43	2.1027	-66.8
44	2.1515	-66.8
45	2.2003	-64.6
46	2.2491	-64.3
47	2.2980	-67.5
48	2.3468	-66.5
49	2.3956	-67.1
50	2.4445	-64.0
51	2.4933	-65.6
52	2.5421	-65.9
53	2.5909	-64.6
54	2.6398	-63.7
55	2.6886	-66.5
56	2.7374	-62.4
57	2.7863	-67.1
58	2.8351	-65.3
59	2.8839	-64.0
60	2.9327	-69.0
61	2.9816	-68.1
62	3.0304	-63.4
63	3.0792	-64.9
64	3.1281	-64.9
65	3.1769	-67.1
66	3.2257	-65.3
67	3.2745	-66.8
68	3.3234	-65.9
69	3.3722	-64.3
70	3.4210	-64.6
71	3.4698	-58.4
72	3.5187	-61.5
73	3.5675	-14.7
74	3.6163	-57.7
75	3.6652	-58.4
76	3.7140	-64.0
77	3.7628	-61.5
78	3.8116	-65.3
79	3.8605	-65.3
80	3.9093	-66.2
81	3.9581	-68.7
82	4.0070	-69.0
83	4.0558	-66.2
84	4.1046	-68.4
85	4.1534	-67.8
86	4.2023	-65.6
87	4.2511	-65.6
88	4.2999	-64.6
89	4.3488	-67.5
90	4.3976	-69.0
91	4.4464	-65.3
92	4.4952	-66.8
93	4.5441	-68.7
94	4.5929	-68.1
95	4.6417	-68.7
96	4.6906	-63.7
97	4.7394	-63.7
98	4.7882	-64.6
99	4.8370	-71.8
100	4.8859	-65.6
101	4.9347	-65.9
102	4.9835	-66.5
103	5.0323	-66.2
104	5.0812	-65.6
105	5.1300	-65.6
106	5.1788	-64.0
107	5.2277	-65.3
108	5.2765	-65.9
109	5.3253	-65.6
110	5.3741	-65.6
111	5.4230	-65.6
112	5.4718	-68.7
113	5.5206	-64.9
114	5.5695	-66.8
115	5.6183	-68.4
116	5.6671	-67.1
117	5.7159	-67.1
118	5.7648	-66.8
119	5.8136	-67.8
120	5.8624	-67.1
121	5.9113	-66.5
122	5.9601	-67.1
123	6.0089	-64.9
124	6.0577	-68.7
125	6.1066	-66.8
126	6.1554	-64.9
127	6.2042	-65.9
128	6.2531	-70.3
129	6.3019	-66.8
130	6.3507	-67.1
131	6.3995	-67.5
132	6.4484	-64.0
133	6.4972	-64.0
134	6.5460	-64.6
135	6.5948	-70.3
136	6.6437	-67.8
137	6.6925	-66.5
138	6.7413	-66.5
139	6.7902	-72.5
140	6.8390	-66.5
141	6.8878	-66.8
142	6.9366	-64.9
143	6.9855	-67.8
144	7.0343	-66.8
145	7.0831	-67.5
146	7.1320	-70.9
147	7.1808	-68.4
148	7.2296	-64.6
149	7.2784	-64.6
150	7.3273	-70.0
151	7.3761	-62.1
152	7.4249	-68.7
153	7.4738	-67.5
154	7.5226	-67.5
155	7.5714	-64.9
156	7.6202	-62.4
157	7.6691	-65.9
158	7.7179	-67.8
159	7.7667	-67.8
160	7.8156	-68.1
161	7.8644	-58.4
162	7.9132	-64.9
163	7.9620	-24.8
164	8.0109	-37.6
165	8.0597	-59.6
166	8.1085	-62.7
167	8.1573	-65.6
168	8.2062	-64.6
169	8.2550	-67.5
170	8.3038	-62.7
171	8.3527	-67.1
172	8.4015	-68.1
173	8.4503	-67.1
174	8.4991	-65.3
175	8.5480	-65.3
176	8.5968	-66.2
177	8.6456	-68.4
178	8.6945	-67.1
179	8.7433	-67.5
180	8.7921	-67.5
181	8.8409	-69.0
182	8.8898	-65.6
183	8.9386	-65.6
184	8.9874	-62.7
185	9.0363	-64.6
186	9.0851	-65.9
187	9.1339	-67.5
188	9.1827	-69.3
189	9.2316	-69.6
