
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2

0	115	93
1	183	160
2	180	152
3	170	140
4	162	139
5	158	151
6	158	169
7	164	187
8	172	197
9	179	197
10	183	191
11	184	186
12	184	185
13	184	189
14	187	195
15	190	195
16	190	184
17	185	165
18	177	145
19	166	131
20	156	130
21	150	139
22	149	154
23	151	166
24	158	171
25	162	171
26	164	167
27	165	168
28	167	175
29	171	187
30	176	196
31	183	196
32	183	183
33	181	163
34	174	142
35	162	128
36	153	127
37	146	133
38	145	142
39	145	147
40	146	147
41	146	143
42	146	142
43	145	147
44	147	161
45	154	178
46	162	189
47	169	189
48	173	178
49	172	159
50	166	140
51	156	128
52	149	128
53	145	131
54	141	133
55	139	132
56	137	124
57	133	116
58	128	115
59	127	123
60	128	141
61	135	161
62	145	175
63	153	175
64	158	166
65	158	151
66	154	138
67	149	132
68	144	132
69	142	133
70	139	131
71	136	120
72	130	106
73	122	94
74	114	93
75	110	102
76	111	121
77	117	141
78	126	154
79	134	154
80	140	149
81	140	139
82	140	133
83	138	134
84	137	137
85	137	137
86	137	131
87	134	115
88	126	95
89	114	80
90	105	78
91	99	86
92	99	103
93	102	119
94	108	128
95	114	128
96	118	124
97	118	122
98	118	123
99	122	131
100	126	139
101	130	139
102	130	130
103	128	110
104	120	88
105	109	74
106	99	71
107	93	76
108	90	89
109	91	99
110	94	101
111	97	100
112	97	98
113	98	99
114	100	109
115	107	124
116	112	136
117	119	137
118	122	127
119	121	107
120	115	87
121	105	72
122	95	70
123	89	73
124	85	82
125	85	82
126	84	79
127	81	73
128	80	71
129	79	77
130	81	92
131	87	111
132	96	126
133	105	127
134	110	119
135	110	102
136	105	86
137	98	75
138	92	74
139	88	77
140	85	77
141	83	72
142	79	61
143	73	51
144	66	49
145	62	56
146	64	74
147	70	95
148	79	110
149	88	111
150	94	106
151	95	94
152	94	84
153	92	81
154	88	82
155	87	83
156	87	80
157	83	68
158	73	50
159	68	36
160	57	34
161	52	40
162	52	58
163	58	79
164	65	91
165	73	92
166	79	88
167	80	82
168	81	81
169	81	84
170	83	90
171	86	91
172	86	85
173	84	67
174	77	46
175	66	29
176	56	26
177	48	31
178	47	47
179	49	61
180	55	70
181	59	70
182	62	67
183	63	66
184	67	73
185	68	83
186	74	94
187	81	96
188	84	89
189	84	71
190	77	48
191	67	32
192	57	29
193	51	33
194	47	43
195	47	50
196	49	51
197	49	49
198	49	47
199	49	50
200	51	62
201	57	80
202	66	94
203	75	96
204	81	91
205	81	74
206	77	55
207	69	41
208	61	39
209	55	41
210	52	45
211	51	45
212	49	39
213	46	31
214	41	29
215	39	34
216	40	51
217	46	72
218	56	89
219	66	91
220	74	88
221	75	74
222	73	60
223	68	53
224	64	52
225	61	55
226	60	55
227	58	46
228	53	33
229	46	21
230	38	18
231	34	24
232	34	42
233	39	63
234	52	80
235	59	83
236	65	81
237	68	72
238	68	65
239	67	66
240	68	70
241	69	71
242	69	68
243	66	55
244	61	36
245	53	20
246	43	16
247	36	20
248	35	37
249	39	56
250	46	69
251	53	70
252	58	69
253	59	66
254	62	67
255	65	75
256	69	85
257	74	86
258	79	84
259	77	66
260	71	44
261	61	27
262	51	23
263	44	26
264	42	39
265	43	52
266	47	58
267	50	58
268	52	56
269	54	57
270	56	66
271	61	81
272	69	96
273	77	99
274	83	95
275	83	78
276	80	58
277	71	42
278	63	38
279	56	40
280	53	49
281	53	53
282	53	52
283	53	48
284	51	46
285	51	50
286	52	64
287	59	84
288	69	102
289	79	106
290	87	104
291	88	89
292	87	73
293	82	62
294	76	60
295	72	62
296	70	63
297	68	62
298	66	54
299	62	43
300	56	40
301	52	45
302	52	62
303	58	84
304	69	102
305	79	109
306	87	107
307	91	96
308	91	86
309	88	82
310	87	83
311	86	86
312	86	86
313	85	77
314	81	61
315	74	46
316	65	42
317	59	46
318	59	63
319	63	84
320	72	100
321	81	106
322	88	105
323	93	100
324	93	98
325	95	100
326	97	107
327	99	111
328	99	109
329	101	95
330	98	76
331	90	58
332	80	53
333	74	56
334	71	69
335	74	87
336	79	98
337	85	100
338	89	99
339	92	99
340	94	103
341	98	115
342	104	128
343	112	132
344	118	130
345	118	115
346	115	94
347	106	76
348	97	71
349	90	73
350	87	83
351	87	93
352	90	96
353	92	96
354	92	94
355	93	96
356	96	107
357	101	125
358	110	142
359	120	149
360	128	147
361	130	133
362	129	114
363	124	100
364	115	95
365	108	96
366	108	103
367	107	104
368	106	102
369	104	94
370	101	91
371	99	93
372	100	109
373	107	130
374	116	151
375	127	159
376	136	158
377	140	146
378	140	133
379	136	124
380	132	123
381	128	125
382	128	126
383	128	122
384	125	111
385	119	98
386	113	93
387	107	96
388	107	114
389	112	137
390	122	154
391	132	161
392	140	160
393	144	152
394	145	147
395	145	146
396	146	151
397	148	153
398	149	152
399	149	141
400	144	124
401	136	107
402	127	102
403	120	105
404	119	122
405	122	141
406	130	155
407	138	160
408	144	159
409	148	156
410	149	157
411	153	165
412	157	175
413	162	179
414	166	177
415	167	163
416	164	143
417	155	124
418	145	118
419	138	120
420	135	133
421	136	147
422	141	154
