N	f/[kHz]	V/[dBV]
0	0.0031	-66.8
1	0.0519	-32.0
2	0.1007	-32.0
3	0.1495	-67.5
4	0.1984	-66.8
5	0.2472	-70.6
6	0.2960	-70.0
7	0.3448	-70.9
8	0.3937	-70.9
9	0.4425	-71.8
10	0.4913	-73.4
11	0.5402	-70.6
12	0.5890	-73.1
13	0.6378	-72.2
14	0.6866	-68.4
15	0.7355	-72.2
16	0.7843	-69.0
17	0.8331	-72.5
18	0.8820	-72.5
19	0.9308	-68.7
20	0.9796	-70.6
21	1.0284	-73.1
22	1.0773	-68.7
23	1.1261	-70.0
24	1.1749	-67.8
25	1.2238	-71.8
26	1.2726	-69.3
27	1.3214	-69.3
28	1.3702	-69.3
29	1.4191	-73.7
30	1.4679	-56.8
31	1.5167	-70.3
32	1.5656	-69.6
33	1.6144	-70.9
34	1.6632	-68.1
35	1.7120	-67.5
36	1.7609	-70.9
37	1.8097	-69.0
38	1.8585	-69.3
39	1.9073	-71.5
40	1.9562	-70.3
41	2.0050	-72.8
42	2.0538	-70.0
43	2.1027	-71.5
44	2.1515	-71.2
45	2.2003	-68.7
46	2.2491	-72.2
47	2.2980	-68.1
48	2.3468	-74.0
49	2.3956	-69.6
50	2.4445	-68.1
51	2.4933	-70.3
52	2.5421	-70.6
53	2.5909	-67.1
54	2.6398	-75.3
55	2.6886	-66.2
56	2.7374	-67.8
57	2.7863	-69.6
58	2.8351	-69.6
59	2.8839	-70.6
60	2.9327	-72.2
61	2.9816	-68.1
62	3.0304	-71.8
63	3.0792	-67.5
64	3.1281	-68.1
65	3.1769	-67.5
66	3.2257	-70.3
67	3.2745	-64.6
68	3.3234	-69.3
69	3.3722	-63.4
70	3.4210	-67.1
71	3.4698	-56.5
72	3.5187	-63.1
73	3.5675	-13.5
74	3.6163	-56.5
75	3.6652	-58.0
76	3.7140	-67.1
77	3.7628	-65.3
78	3.8116	-68.4
79	3.8605	-67.8
80	3.9093	-71.2
81	3.9581	-64.3
82	4.0070	-69.6
83	4.0558	-69.6
84	4.1046	-70.3
85	4.1534	-71.2
86	4.2023	-69.3
87	4.2511	-69.3
88	4.2999	-66.5
89	4.3488	-67.8
90	4.3976	-65.9
91	4.4464	-67.8
92	4.4952	-68.7
93	4.5441	-71.8
94	4.5929	-71.8
95	4.6417	-71.8
96	4.6906	-71.5
97	4.7394	-69.6
98	4.7882	-67.8
99	4.8370	-75.3
