,R = 680,,R = 274,,R = 48.7,
Frequenz [Hz],Ue[V],Ua[V],Ue[V],Ua[V],Ue[V],Ua[V]
300,0.256,5.44,0.256,2.24,0.84,1.36
600,0.256,5.36,0.256,2.24,0.84,1.36
900,0.256,5.28,0.256,2.24,0.84,1.36
3000,0.256,4.32,0.256,2.16,0.84,1.36
6000,0.256,3.04,0.256,1.92,0.84,1.36
9000,0.256,2.24,0.256,1.68,0.84,1.36
30000,0.256,0.9,0.256,0.8,0.824,1.2
60000,0.256,0.48,0.256,0.48,0.824,0.96
90000,0.256,0.32,0.256,0.32,0.824,0.8
100000,0.256,0.32,0.256,0.32,0.824,0.72
200000,0.24,0.24,0.24,0.24,0.792,0.48
300000,0.256,0.16,0.248,0.16,0.824,0.32
