Frequenz [Hz],dFreq [Hz],Strom [mA],dStrom [mA],Ausgangsspannung [V],Fehler,Eingangsspannung [V],Fehler
20.6,0.4,213,1,1.03,0.01,2.04,0.01
40.24,0.08,136,1,1.33,0.01,2.14,0.01
60.1,0.1,96,1,1.42,0.01,2.17,0.01
80,0.12,74,1,1.45,0.01,2.19,0.01
100.7,0.1,59,1,1.47,0.01,2.19,0.01
120.8,0.1,49,1,1.47,0.01,2.19,0.01
140.6,0.2,42.33,0.01,1.44,0.01,2.21,0.01
160.5,0.3,37.46,0.01,1.45,0.01,2.19,0.01
180.5,0.3,33.51,0.01,1.46,0.01,2.21,0.01
200.4,0.4,30.28,0.01,1.47,0.01,2.21,0.01
401,1,15.37,0.01,1.51,0.01,2.21,0.01
602.4,1.5,10.27,0.01,1.52,0.01,2.18,0.01
800,2.5,7.74,0.01,1.51,0.01,2.18,0.02
1002,4,6.2,0.01,1.52,0.01,2.15,0.01
1206,4,5.14,0.01,1.52,0.01,2.14,0.01
1397,4,4.42,0.01,1.52,0.01,2.12,0.02
1603,5,3.84,0.01,1.54,0.02,2.09,0.01
1805,6,3.38,0.01,1.55,0.01,2.07,0.01
2004,8,2.99,0.01,1.59,0.01,2.05,0.01
