
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.15V~
CH2:  32 = 0.15V~

N	CH1	CH2

0	229	231
1	229	231
2	228	231
3	228	231
4	228	230
5	228	231
6	228	231
7	229	231
8	229	231
9	228	230
10	229	231
11	229	231
12	228	231
13	228	231
14	228	230
15	229	230
16	229	231
17	229	231
18	229	230
19	228	231
20	228	231
21	228	231
22	228	231
23	229	231
24	229	230
25	228	231
26	228	231
27	228	230
28	228	230
29	228	230
30	228	230
31	228	230
32	228	230
33	228	230
34	228	230
35	228	230
36	228	230
37	228	230
38	228	230
39	228	230
40	228	230
41	228	230
42	228	230
43	228	230
44	228	230
45	228	230
46	228	230
47	228	230
48	228	230
49	228	230
50	228	230
51	228	230
52	228	230
53	228	230
54	228	230
55	228	230
56	227	230
57	228	230
58	228	230
59	228	229
60	228	229
61	228	229
62	227	230
63	228	230
64	228	229
65	227	229
66	228	230
67	228	230
68	228	229
69	228	229
70	228	230
71	228	230
72	228	230
73	228	229
74	228	229
75	228	230
76	227	230
77	228	229
78	228	229
79	228	229
80	227	229
81	227	229
82	227	229
83	227	229
84	227	229
85	227	229
86	228	229
87	228	229
88	227	229
89	226	228
90	227	229
91	227	229
92	227	230
93	227	229
94	227	229
95	227	229
96	227	230
97	227	229
98	227	229
99	227	229
100	227	229
101	227	229
102	227	229
103	227	229
104	227	229
105	227	229
106	227	229
107	227	229
108	227	229
109	227	228
110	227	228
111	226	229
112	227	229
113	227	228
114	227	229
115	227	229
116	227	229
117	227	228
118	227	228
119	227	228
120	227	229
121	227	229
122	227	228
123	227	228
124	227	228
125	226	228
126	226	228
127	226	228
128	226	228
129	226	228
130	226	228
131	227	228
132	227	228
133	226	228
134	226	228
135	227	228
136	227	228
137	227	228
138	226	228
139	226	228
140	226	228
141	226	228
142	226	228
143	226	228
144	226	228
145	226	228
146	226	228
147	225	228
148	226	228
149	226	228
150	226	228
151	226	228
152	226	228
153	226	228
154	226	228
155	226	228
156	226	228
157	226	228
158	226	228
159	225	228
160	226	228
161	226	228
162	226	228
163	226	228
164	226	227
165	226	228
166	226	228
167	225	227
168	226	227
169	226	228
170	225	228
171	226	227
172	226	228
173	225	228
174	226	227
175	226	228
176	226	228
177	226	227
178	226	227
179	226	227
180	226	227
181	226	227
182	225	227
183	225	227
184	225	227
185	226	227
186	226	227
187	226	227
188	226	227
189	226	227
190	226	227
191	225	227
192	225	227
193	225	227
194	225	227
195	225	227
196	225	227
197	225	226
198	225	227
199	225	227
200	225	227
201	225	227
202	225	227
203	225	227
204	225	227
205	225	227
206	225	227
207	225	227
208	225	227
209	225	227
210	224	228
211	226	228
212	225	227
213	224	226
214	225	227
215	225	227
216	225	226
217	225	227
218	225	227
219	225	227
220	225	227
221	224	227
222	224	227
223	224	226
224	225	226
225	225	227
226	225	227
227	225	226
228	225	226
229	225	226
230	225	226
231	225	226
232	225	226
233	225	226
234	225	226
235	224	226
236	224	226
237	225	226
238	225	226
239	225	226
240	225	226
241	224	226
242	225	226
243	225	226
244	225	226
245	225	226
246	224	226
247	224	226
248	224	226
249	224	226
250	224	226
251	224	226
252	224	226
253	224	226
254	224	226
255	224	226
256	224	226
257	224	226
258	224	226
259	224	226
260	224	226
261	224	226
262	224	226
263	224	226
264	224	226
265	224	226
266	224	226
267	224	226
268	224	226
269	223	225
270	224	225
271	224	226
272	224	226
273	224	226
274	224	225
275	224	226
276	224	226
277	224	226
278	224	226
279	224	225
280	224	226
281	224	226
282	224	226
283	224	226
284	224	225
285	224	225
286	223	226
287	224	226
288	224	226
289	224	225
290	223	225
291	224	225
292	224	225
293	224	225
294	224	225
295	224	225
296	224	225
297	224	225
298	224	225
299	224	225
300	223	224
301	223	225
302	223	225
303	223	225
304	223	225
305	223	225
306	223	225
307	223	225
308	223	225
309	223	225
310	224	225
311	224	225
312	223	225
313	223	225
314	223	225
315	222	224
316	223	225
317	223	225
318	223	225
319	223	225
320	223	225
321	223	225
322	223	224
323	223	225
324	223	225
325	223	225
326	223	224
327	223	224
328	223	224
329	223	224
330	223	224
331	223	224
332	223	224
333	223	224
334	223	224
335	223	225
336	223	225
337	223	224
338	223	224
339	223	224
340	223	224
341	223	224
342	223	224
343	223	224
344	223	224
345	223	224
346	223	223
347	223	224
348	223	224
349	223	224
350	222	224
351	223	224
352	223	224
353	222	224
354	222	224
355	222	224
356	223	224
357	223	224
358	223	224
359	223	225
360	223	224
361	223	223
362	222	224
363	222	224
364	222	224
365	222	224
366	222	224
367	222	224
368	222	224
369	222	224
370	222	224
371	221	223
372	222	223
373	223	224
374	223	224
375	222	224
376	222	224
377	221	223
378	222	224
379	222	224
380	222	224
381	223	224
382	223	224
383	222	223
384	222	223
385	222	224
386	222	224
387	222	223
388	222	223
389	222	223
390	222	224
391	222	224
392	222	224
393	222	224
394	214	25
395	185	25
396	162	24
397	141	24
398	125	24
399	110	23
400	97	23
401	87	23
402	78	23
403	70	22
404	64	22
405	58	22
406	53	22
407	49	22
408	46	22
409	43	22
410	40	22
411	38	22
412	36	22
413	34	22
414	32	21
415	32	21
416	30	21
417	30	21
418	29	21
419	28	21
420	28	21
421	27	21
422	27	21
423	26	21
424	26	21
425	26	21
426	26	21
427	25	21
428	25	21
429	24	21
430	25	21
431	24	21
432	24	21
433	25	21
434	24	21
435	24	22
436	24	22
437	24	21
438	24	21
439	24	21
440	24	21
441	24	21
442	24	21
443	24	22
444	24	22
445	24	22
446	24	22
447	23	21
448	24	21
449	24	21
450	24	21
451	24	21
452	24	22
453	24	22
454	24	22
455	23	21
456	24	22
457	24	22
458	24	22
459	24	22
460	24	21
461	24	21
462	24	22
463	24	22
464	24	22
465	24	22
466	23	22
467	22	21
468	24	22
469	24	22
470	24	22
471	24	22
472	24	22
473	24	22
474	24	22
475	24	22
476	24	22
477	24	22
478	23	22
479	23	22
480	23	22
481	24	22
482	24	22
483	24	22
484	24	22
485	24	22
486	24	22
487	24	22
488	24	22
489	24	22
490	24	22
491	24	22
492	24	22
493	24	22
494	24	22
495	23	22
496	23	22
497	23	22
498	24	23
499	24	23
500	24	23
501	24	23
502	24	23
503	24	23
504	24	23
505	24	23
506	24	23
507	24	23
508	24	23
509	23	22
510	24	23
511	24	23
512	24	23
513	25	23
514	25	23
515	25	23
516	24	23
517	25	23
518	25	23
519	24	23
520	25	23
521	25	23
522	24	23
523	24	23
524	24	23
525	24	23
526	24	23
527	24	23
528	25	23
529	25	23
530	25	23
531	25	24
532	25	24
533	25	24
534	25	23
535	25	23
536	25	23
537	25	24
538	25	24
539	25	25
540	24	24
541	24	24
542	25	23
543	25	23
544	25	23
545	25	24
546	25	24
547	25	24
548	25	24
549	25	24
550	25	24
551	25	24
552	25	24
553	25	24
554	24	24
555	25	24
556	25	24
557	25	24
558	25	24
559	25	24
560	25	24
561	24	23
562	25	24
563	25	24
564	25	24
565	25	24
566	25	24
567	25	24
568	25	24
569	25	24
570	25	24
571	25	24
572	25	24
573	25	24
574	25	24
575	25	24
576	25	24
