
TIME STEP:
125 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 1.5V
CH2:  32 = 1.5V

N	CH1	CH2

0	169	120
1	169	119
2	169	118
3	168	117
4	168	116
5	168	115
6	167	114
7	167	113
8	166	112
9	166	111
10	166	110
11	165	109
12	165	108
13	165	107
14	164	106
15	164	105
16	163	104
17	163	103
18	162	102
19	162	101
20	162	100
21	161	99
22	161	98
23	160	97
24	160	96
25	160	95
26	159	94
27	158	93
28	158	92
29	158	91
30	158	91
31	157	89
32	157	88
33	156	88
34	155	87
35	155	86
36	155	85
37	154	85
38	154	84
39	153	83
40	153	82
41	152	81
42	152	80
43	151	79
44	151	79
45	150	78
46	150	77
47	149	76
48	149	75
49	148	74
50	148	73
51	147	72
52	147	71
53	146	71
54	146	70
55	146	69
56	145	69
57	144	67
58	144	67
59	143	66
60	143	65
61	142	65
62	142	64
63	141	63
64	141	62
65	140	62
66	140	61
67	139	60
68	139	59
69	138	59
70	137	58
71	137	57
72	136	56
73	136	56
74	135	55
75	135	55
76	134	54
77	134	53
78	133	53
79	133	52
80	132	52
81	131	51
82	131	50
83	131	49
84	130	49
85	130	48
86	129	48
87	129	47
88	128	47
89	127	46
90	127	45
91	126	45
92	126	44
93	125	44
94	125	43
95	124	42
96	124	42
97	123	42
98	122	41
99	122	41
100	122	40
101	121	40
102	120	39
103	120	39
104	119	39
105	119	38
106	118	38
107	118	37
108	117	37
109	117	37
110	116	36
111	116	36
112	115	35
113	115	35
114	114	35
115	113	34
116	113	34
117	113	34
118	112	34
119	111	33
120	111	33
121	110	33
122	110	33
123	109	32
124	109	32
125	108	32
126	108	32
127	108	32
128	107	31
129	106	31
130	106	31
131	106	31
132	105	31
133	105	30
134	104	30
135	103	30
136	103	30
137	102	30
138	102	30
139	102	30
140	101	30
141	101	30
142	100	30
143	100	29
144	99	29
145	99	29
146	98	29
147	98	29
148	98	30
149	97	30
150	97	30
151	96	30
152	96	30
153	95	30
154	95	30
155	94	30
156	94	30
157	94	30
158	94	30
159	93	30
160	93	30
161	92	31
162	92	31
163	92	31
164	91	32
165	91	32
166	91	32
167	90	32
168	90	32
169	89	32
170	89	33
171	89	33
172	88	33
173	88	33
174	88	34
175	87	34
176	87	34
177	86	35
178	86	35
179	86	35
180	86	35
181	85	36
182	85	36
183	85	37
184	84	37
185	84	37
186	83	38
187	83	38
188	83	39
189	83	39
190	83	39
191	82	40
192	82	40
193	82	41
194	82	41
195	81	42
196	81	42
197	81	43
198	81	43
199	81	44
200	80	44
201	80	45
202	80	45
203	80	46
204	79	46
205	79	47
206	79	47
207	79	48
208	79	49
209	79	49
210	78	50
211	78	51
212	78	51
213	78	52
214	78	53
215	78	53
216	78	54
217	77	55
218	77	55
219	77	56
220	77	56
221	77	57
222	77	58
223	77	59
224	76	59
225	76	60
226	76	61
227	76	61
228	76	62
229	76	63
230	76	64
231	76	64
232	76	66
233	76	66
234	76	67
235	76	68
236	76	68
237	76	69
238	76	70
239	76	71
240	76	71
241	76	72
242	76	73
243	76	74
244	76	75
245	76	76
246	76	77
247	76	78
248	76	78
249	76	79
250	76	80
251	76	81
252	76	82
253	76	83
254	76	84
255	76	85
256	76	85
257	76	87
258	76	87
259	77	88
260	77	89
261	77	89
262	77	90
263	77	91
264	77	92
265	77	93
266	77	94
267	78	95
268	78	96
269	78	97
270	78	98
271	78	99
272	78	100
273	78	101
274	78	102
275	78	103
276	79	104
277	79	105
278	79	105
279	79	107
280	80	108
281	80	109
282	80	109
283	80	111
284	81	112
285	81	113
286	81	114
287	81	115
288	81	115
289	82	117
290	82	117
291	82	119
292	82	120
293	83	121
294	83	121
295	83	122
296	83	123
297	83	125
298	84	126
299	84	127
300	84	127
301	85	129
302	85	129
303	85	131
304	86	131
305	86	133
306	87	134
307	87	135
308	87	135
309	88	137
310	88	137
311	88	138
312	88	140
313	89	141
314	89	141
315	89	143
316	90	144
317	90	145
318	90	146
319	91	147
320	91	148
321	92	149
322	92	149
323	93	150
324	93	151
325	94	152
326	94	153
327	94	154
328	94	155
329	95	155
330	95	156
331	96	157
332	96	159
333	97	159
334	97	161
335	97	161
336	98	162
337	99	163
338	99	164
339	99	165
340	100	166
341	100	167
342	101	168
343	101	169
344	102	170
345	102	170
346	103	171
347	103	172
348	103	173
349	104	174
350	105	175
351	105	176
352	105	177
353	106	178
354	106	178
355	107	179
356	107	180
357	108	181
358	108	182
359	109	183
360	109	184
361	110	184
362	110	185
363	111	186
364	111	187
365	112	188
366	112	188
367	113	189
368	114	190
369	114	191
370	114	192
371	115	193
372	116	194
373	116	194
374	116	194
375	117	195
376	117	196
377	118	197
378	119	198
379	119	198
380	120	199
381	120	200
382	121	200
383	121	201
384	122	202
385	122	202
386	123	203
387	123	204
388	124	204
389	124	205
390	125	206
391	125	206
392	126	207
393	126	208
394	127	208
395	128	209
396	128	209
397	129	210
398	129	211
399	130	211
400	131	212
401	131	212
402	131	213
403	132	213
404	133	214
405	133	214
406	134	215
407	134	215
408	135	216
409	135	217
410	135	217
411	136	217
412	137	218
413	137	218
414	138	218
415	138	219
416	139	219
417	139	219
418	140	220
419	140	220
420	141	221
421	141	221
422	142	221
423	142	222
424	143	222
425	144	222
426	144	223
427	145	223
428	145	223
429	145	224
430	146	224
431	146	224
432	147	225
433	147	225
434	148	225
435	148	225
436	149	225
437	149	225
438	150	226
439	150	226
440	151	226
441	151	226
442	152	226
443	152	226
444	153	227
445	153	227
446	154	227
447	154	227
448	155	227
449	155	227
450	156	227
451	156	227
452	157	227
453	157	227
454	157	227
455	158	227
456	158	228
457	159	228
458	159	228
459	160	228
460	160	228
461	160	228
462	161	228
463	161	227
464	162	227
465	162	227
466	162	227
467	163	227
468	163	227
469	164	227
470	164	227
471	164	227
472	165	227
473	165	227
474	166	226
475	166	226
476	167	226
477	167	226
478	167	225
479	167	225
480	168	225
481	168	225
482	169	225
483	169	225
484	169	224
485	170	224
486	170	224
487	170	224
488	171	223
489	171	223
490	171	223
491	171	223
492	172	222
493	172	222
494	172	221
495	173	221
496	173	221
497	173	220
498	174	220
499	174	220
500	174	219
501	175	219
502	175	219
503	175	218
504	175	218
505	176	217
506	176	217
507	176	217
508	176	216
509	177	216
510	177	215
511	177	214
512	177	214
513	177	213
514	178	213
515	178	212
516	178	212
517	178	211
518	178	211
519	179	210
520	179	210
521	179	209
522	179	209
523	179	208
524	179	208
525	180	207
526	180	206
527	180	206
528	180	205
529	180	204
530	180	204
531	180	203
532	181	202
533	181	202
534	181	201
535	181	200
536	181	200
537	181	199
538	181	198
539	181	198
540	181	197
541	181	196
542	182	195
543	182	195
544	182	194
545	182	193
546	182	192
547	182	192
548	182	191
549	182	191
550	182	190
551	182	189
552	182	188
553	182	187
554	182	187
555	182	185
556	182	185
557	182	184
558	182	184
559	182	182
560	182	182
561	182	181
562	182	180
563	182	179
564	182	178
565	182	177
566	182	176
567	182	175
568	182	175
569	182	174
570	181	173
571	181	172
572	181	171
573	181	170
574	181	169
575	181	168
576	181	167
577	181	167
578	181	165
579	180	165
580	180	164
581	180	162
582	180	162
583	180	161
584	180	160
585	180	159
586	179	158
587	179	157
588	179	156
589	179	155
590	179	154
591	179	153
592	178	152
593	178	152
594	178	151
595	178	150
596	178	149
597	178	148
598	177	147
599	177	146
600	177	145
601	177	144
602	176	143
603	176	142
604	176	141
605	176	140
606	175	139
607	175	138
608	175	137
609	174	136
610	174	135
611	174	134
612	174	133
613	173	132
614	173	131
615	173	130
616	173	129
617	172	128
618	172	127
619	172	126
620	171	125
621	171	124
622	170	123
623	170	122
624	170	121
625	169	120
626	169	119
627	169	118
628	168	117
629	168	116
630	168	115
631	167	114
632	167	113
633	167	112
634	166	111
635	166	110
636	165	109
637	165	107
638	165	107
639	164	106
640	164	105
641	163	104
642	163	103
643	162	102
644	162	101
645	162	100
646	161	99
647	161	98
648	161	97
649	160	96
650	160	95
651	159	94
652	159	93
653	158	92
654	158	91
655	158	90
656	157	90
657	157	89
658	156	88
659	155	87
660	155	86
661	155	86
662	154	85
663	154	84
664	153	83
665	153	82
666	152	81
667	152	80
668	151	79
669	151	78
670	150	78
671	150	77
672	149	76
673	149	75
674	148	74
675	148	73
676	147	72
677	147	71
678	146	71
679	146	70
680	146	69
681	145	69
682	144	68
683	144	67
684	143	66
685	143	65
686	142	65
687	142	64
688	141	63
689	141	62
690	140	61
691	140	61
692	139	60
693	139	59
694	138	59
695	138	58
696	137	57
697	136	57
698	136	56
699	135	55
700	135	55
701	134	54
702	134	53
703	133	53
704	133	52
705	132	51
706	132	51
707	131	50
708	131	50
709	130	49
710	129	48
711	129	48
712	128	47
713	128	47
714	127	46
715	127	45
716	126	45
717	126	44
718	125	44
719	125	43
720	124	43
721	124	42
722	123	42
723	123	41
724	122	41
725	121	40
726	121	40
727	120	39
728	120	39
729	119	39
730	119	38
731	118	38
732	118	37
733	117	37
734	117	36
735	116	36
736	115	36
737	115	35
738	115	35
739	114	35
740	114	34
741	113	34
742	112	34
743	112	34
744	111	33
745	111	33
746	111	33
747	110	33
748	109	33
749	109	32
750	109	32
751	108	32
752	107	32
753	107	31
754	106	31
755	106	31
756	105	31
757	105	31
758	105	31
759	104	30
760	104	30
761	103	30
762	103	30
763	102	30
764	102	30
765	101	30
766	101	30
767	100	30
768	100	30
769	100	29
770	99	29
771	99	29
772	98	29
773	98	30
774	97	30
775	97	30
776	96	30
777	96	30
778	96	30
779	95	30
780	95	30
781	94	30
782	94	30
783	93	31
784	93	31
785	93	31
786	92	31
787	92	31
788	92	31
789	91	31
790	90	31
791	90	31
792	90	32
793	90	32
794	89	32
795	89	33
796	88	33
797	88	33
798	88	33
799	87	34
800	87	34
801	87	34
802	86	35
803	86	35
804	86	35
805	86	36
806	85	36
807	85	36
808	85	37
809	84	37
810	84	37
811	84	37
812	84	38
813	83	39
814	83	39
815	83	39
816	82	40
817	82	40
818	82	41
819	82	41
820	81	42
821	81	42
822	81	43
823	81	43
824	81	44
825	80	44
826	80	45
827	80	46
828	80	46
829	80	47
830	79	47
831	79	48
832	79	48
833	79	49
834	79	50
835	78	50
836	78	51
837	78	51
838	78	52
839	78	53
840	78	53
841	77	54
842	77	55
843	77	55
844	77	56
845	77	56
846	77	57
847	77	58
848	77	59
849	76	59
850	76	60
851	76	61
852	76	61
853	76	62
854	76	63
855	76	64
856	76	65
857	76	65
858	76	66
859	76	67
860	76	68
861	76	68
862	76	69
863	76	70
864	76	71
865	76	71
866	76	72
867	76	73
868	76	74
869	76	75
870	76	75
871	76	76
872	76	77
873	76	78
874	76	79
875	76	80
876	76	81
877	76	81
878	76	83
879	76	84
880	76	85
881	76	86
882	76	86
883	76	87
884	77	87
885	77	89
886	77	89
887	77	90
888	77	91
889	77	92
890	77	93
891	77	94
892	78	95
893	78	96
894	78	97
895	78	98
896	78	99
897	78	100
898	78	101
899	79	102
900	79	103
901	79	104
902	79	105
903	79	105
904	79	106
905	80	107
906	80	109
907	80	110
908	80	110
909	81	112
910	81	113
911	81	114
912	81	115
913	82	116
914	82	117
915	82	118
916	82	119
917	82	120
918	83	121
919	83	121
920	83	123
921	84	124
922	84	125
923	84	126
924	84	127
925	85	127
926	85	129
927	85	130
928	85	131
929	86	132
930	86	133
931	86	133
932	87	135
933	87	136
934	88	137
935	88	137
936	88	138
937	89	139
938	89	141
939	89	142
940	90	143
941	90	144
942	90	145
943	91	145
944	91	147
945	91	148
946	92	149
947	92	149
948	93	150
949	93	151
950	94	152
951	94	153
952	94	154
953	95	155
954	95	155
955	95	157
956	96	158
957	96	159
958	97	159
959	97	160
960	98	161
961	98	162
962	99	163
963	99	164
964	99	165
965	100	166
966	100	167
967	101	168
968	101	169
969	102	170
970	102	170
971	103	171
972	103	172
973	104	173
974	104	174
975	104	175
976	105	176
977	105	177
978	106	177
979	106	178
980	107	179
981	107	180
982	108	181
983	108	182
984	109	183
985	109	183
986	110	184
987	111	185
988	111	186
989	111	187
990	112	188
991	112	188
992	113	189
993	114	190
994	114	191
995	114	192
996	115	193
997	115	193
998	116	194
999	117	195
1000	117	196
1001	117	197
1002	118	197
1003	119	198
1004	119	199
1005	120	199
1006	120	199
1007	120	200
1008	121	201
1009	122	202
1010	122	202
1011	123	203
1012	124	204
1013	124	204
1014	124	205
1015	125	206
1016	126	206
1017	126	207
1018	127	208
1019	127	208
1020	128	209
1021	128	209
1022	129	210
1023	129	211
1024	130	211
1025	130	211
1026	131	212
1027	131	213
1028	132	213
1029	132	214
1030	133	214
1031	134	215
1032	134	215
1033	135	216
1034	135	216
1035	136	217
1036	136	217
1037	137	217
1038	137	218
1039	138	218
1040	138	219
1041	139	219
1042	139	219
1043	140	220
1044	140	221
1045	141	221
1046	141	221
1047	142	221
1048	142	222
1049	143	222
1050	144	223
1051	144	223
1052	145	223
1053	145	223
1054	146	223
1055	146	224
1056	147	224
1057	147	224
1058	147	225
1059	148	225
1060	148	225
1061	149	225
1062	149	225
1063	150	226
1064	150	226
1065	151	226
1066	151	226
1067	152	226
1068	152	226
1069	153	227
1070	153	227
1071	154	227
1072	154	227
1073	155	227
1074	155	227
1075	155	227
1076	156	227
1077	156	227
1078	157	227
1079	157	228
1080	158	228
1081	158	228
1082	158	227
1083	159	228
1084	160	228
1085	160	227
1086	160	227
1087	161	227
1088	161	227
1089	162	227
1090	162	227
1091	162	227
1092	163	227
1093	163	227
1094	164	227
1095	164	227
1096	164	227
1097	165	227
1098	165	227
1099	166	226
1100	166	226
1101	167	226
1102	167	226
1103	167	226
1104	167	226
1105	168	226
1106	168	225
1107	169	225
1108	169	225
1109	169	224
1110	170	224
1111	170	224
1112	170	224
1113	171	223
1114	171	223
1115	171	223
1116	172	223
1117	172	222
1118	172	222
1119	173	222
1120	173	221
1121	173	221
1122	173	220
1123	174	220
1124	174	219
1125	174	219
1126	175	219
1127	175	219
1128	175	218
1129	175	218
1130	176	217
1131	176	217
1132	176	216
1133	177	216
1134	177	216
1135	177	215
1136	177	215
1137	177	214
1138	178	214
1139	178	213
1140	178	212
1141	178	212
1142	178	211
1143	178	211
1144	179	210
1145	179	210
1146	179	209
1147	179	209
1148	179	208
1149	180	208
1150	180	207
1151	180	206
1152	180	206
1153	180	205
1154	180	204
1155	180	203
1156	180	203
1157	181	202
1158	181	202
1159	181	201
1160	181	200
1161	181	200
1162	181	199
1163	181	199
1164	181	198
1165	181	197
1166	182	197
1167	182	196
1168	182	195
1169	182	194
1170	182	194
1171	182	193
1172	182	192
1173	182	191
1174	182	190
1175	182	190
1176	182	189
1177	182	188
1178	182	187
1179	182	186
1180	182	185
1181	182	185
1182	182	184
1183	182	183
1184	182	183
1185	182	182
1186	182	181
1187	182	180
1188	182	179
1189	182	178
1190	182	177
1191	182	176
1192	182	176
1193	182	175
1194	181	174
1195	181	173
1196	181	171
1197	181	171
1198	181	170
1199	181	169
1200	181	168
1201	181	167
1202	181	166
1203	181	166
1204	181	165
1205	181	164
1206	180	163
1207	180	162
1208	180	161
1209	180	160
1210	180	159
1211	180	158
1212	179	157
1213	179	156
1214	179	155
1215	179	154
1216	179	153
1217	178	152
1218	178	151
1219	178	151
1220	178	150
1221	178	149
1222	177	148
1223	177	147
1224	177	146
1225	177	145
1226	177	144
1227	176	143
1228	176	142
1229	176	141
1230	176	140
1231	175	139
1232	175	138
1233	175	137
1234	175	136
1235	174	135
1236	174	134
1237	174	133
1238	174	132
1239	173	131
1240	173	130
1241	173	129
1242	172	128
1243	172	127
1244	172	126
1245	171	125
1246	171	124
1247	170	123
1248	170	122
1249	170	121
1250	169	120
1251	169	119
1252	169	118
1253	169	117
1254	168	116
1255	168	115
1256	168	114
1257	167	113
1258	167	112
1259	166	111
1260	166	110
1261	165	109
1262	165	108
1263	164	107
1264	164	106
1265	164	105
1266	163	104
1267	163	103
1268	163	102
1269	162	101
1270	162	100
1271	161	99
1272	161	98
1273	161	97
1274	160	96
1275	160	95
1276	159	94
1277	159	93
1278	158	92
1279	158	92
1280	157	91
1281	157	90
1282	156	89
1283	156	88
1284	156	87
1285	155	87
1286	155	86
1287	154	85
1288	154	84
1289	153	83
1290	153	82
1291	152	81
1292	152	80
1293	151	79
1294	150	79
1295	150	78
1296	150	77
1297	149	76
1298	149	75
1299	148	74
1300	148	73
1301	147	72
1302	147	71
1303	146	71
1304	146	70
