  Hz	 Vrms	dBV
1000	0.302	-10.399
1050	0.316	-9.997
1100	0.329	-9.644
1150	0.345	-9.249
1200	0.358	-8.919
1250	0.372	-8.586
1300	0.385	-8.292
1350	0.400	-7.959
1400	0.413	-7.676
1450	0.427	-7.390
1500	0.439	-7.146
1550	0.453	-6.886
1600	0.463	-6.694
1650	0.477	-6.438
1700	0.487	-6.252
1750	0.500	-6.017
1800	0.511	-5.825
1850	0.524	-5.614
1900	0.533	-5.460
1950	0.545	-5.274
2000	0.554	-5.134
2050	0.565	-4.961
2100	0.574	-4.820
2150	0.588	-4.614
2200	0.599	-4.454
2250	0.608	-4.326
2300	0.617	-4.199
2350	0.625	-4.081
2400	0.634	-3.953
2450	0.646	-3.798
2500	0.654	-3.693
2550	0.663	-3.570
2600	0.670	-3.483
2650	0.680	-3.344
2700	0.684	-3.295
2750	0.693	-3.181
2800	0.702	-3.073
2850	0.709	-2.981
2900	0.714	-2.930
2950	0.759	-2.395
3000	0.759	-2.393
3050	0.769	-2.282
3100	0.772	-2.243
3150	0.783	-2.128
3200	0.784	-2.116
3250	0.790	-2.044
3300	0.793	-2.017
3350	0.798	-1.960
3400	0.802	-1.913
3450	0.807	-1.863
3500	0.809	-1.837
3550	0.813	-1.797
3600	0.816	-1.764
3650	0.818	-1.746
3700	0.820	-1.724
3750	0.818	-1.742
3800	0.820	-1.721
3850	0.826	-1.663
3900	0.825	-1.673
3950	0.826	-1.662
4000	0.824	-1.683
4050	0.825	-1.675
4100	0.822	-1.701
4150	0.823	-1.693
4200	0.823	-1.687
4250	0.822	-1.704
4300	0.822	-1.699
4350	0.820	-1.724
4400	0.822	-1.708
4450	0.819	-1.733
4500	0.816	-1.763
4550	0.813	-1.794
4600	0.812	-1.807
4650	0.812	-1.811
4700	0.807	-1.861
4750	0.805	-1.884
4800	0.804	-1.899
4850	0.798	-1.960
4900	0.797	-1.966
4950	0.794	-1.999
5000	0.791	-2.041
5050	0.790	-2.052
5100	0.782	-2.132
5150	0.786	-2.096
5200	0.782	-2.133
5250	0.776	-2.206
5300	0.777	-2.187
5350	0.773	-2.241
5400	0.770	-2.271
5450	0.767	-2.310
5500	0.761	-2.375
5550	0.755	-2.447
5600	0.751	-2.482
5650	0.751	-2.487
5700	0.750	-2.500
5750	0.743	-2.579
5800	0.741	-2.602
5850	0.735	-2.677
5900	0.735	-2.673
5950	0.730	-2.736
6000	0.728	-2.762
6050	0.725	-2.797
6100	0.719	-2.871
6150	0.719	-2.870
6200	0.711	-2.958
6250	0.709	-2.986
6300	0.706	-3.021
6350	0.702	-3.068
6400	0.698	-3.126
6450	0.695	-3.164
6500	0.691	-3.214
6550	0.686	-3.273
6600	0.685	-3.291
6650	0.679	-3.365
6700	0.676	-3.400
6750	0.672	-3.449
6800	0.667	-3.522
6850	0.664	-3.554
6900	0.660	-3.612
6950	0.657	-3.655
7000	0.654	-3.684
7050	0.653	-3.705
7100	0.649	-3.757
7150	0.646	-3.798
7200	0.643	-3.835
7250	0.642	-3.848
7300	0.638	-3.900
7350	0.635	-3.942
7400	0.631	-3.997
7450	0.628	-4.043
7500	0.626	-4.074
7550	0.624	-4.102
7600	0.620	-4.157
7650	0.617	-4.193
7700	0.613	-4.252
7750	0.618	-4.179
7800	0.615	-4.220
7850	0.612	-4.259
7900	0.607	-4.335
7950	0.604	-4.376
8000	0.601	-4.420
8050	0.597	-4.481
8100	0.596	-4.500
8150	0.592	-4.550
8200	0.588	-4.610
8250	0.586	-4.642
8300	0.582	-4.709
8350	0.581	-4.723
8400	0.578	-4.765
8450	0.573	-4.844
8500	0.572	-4.848
8550	0.567	-4.921
8600	0.567	-4.931
8650	0.562	-5.012
8700	0.560	-5.040
8750	0.557	-5.077
8800	0.554	-5.123
8850	0.551	-5.172
8900	0.547	-5.235
8950	0.546	-5.258
9000	0.544	-5.296
9050	0.542	-5.313
9100	0.537	-5.397
9150	0.535	-5.432
9200	0.534	-5.454
9250	0.529	-5.539
9300	0.528	-5.549
9350	0.526	-5.588
9400	0.523	-5.630
9450	0.519	-5.702
9500	0.517	-5.722
9550	0.515	-5.756
9600	0.513	-5.804
9650	0.511	-5.835
9700	0.506	-5.912
9750	0.505	-5.929
9800	0.503	-5.976
9850	0.501	-6.003
9900	0.498	-6.048
9950	0.496	-6.084
10000	0.492	-6.163
  Hz	 Vrms	dBV
1000	0.071	-22.937
1050	0.075	-22.485
1100	0.079	-22.039
1150	0.083	-21.577
1200	0.087	-21.175
1250	0.092	-20.749
1300	0.096	-20.367
1350	0.101	-19.945
1400	0.105	-19.538
1450	0.110	-19.150
1500	0.115	-18.758
1550	0.120	-18.409
1600	0.125	-18.027
1650	0.130	-17.693
1700	0.136	-17.341
1750	0.141	-17.005
1800	0.147	-16.646
1850	0.153	-16.285
1900	0.159	-15.965
1950	0.166	-15.606
2000	0.172	-15.273
2050	0.179	-14.937
2100	0.185	-14.638
2150	0.194	-14.226
2200	0.201	-13.916
2250	0.211	-13.529
2300	0.218	-13.235
2350	0.227	-12.886
2400	0.235	-12.589
2450	0.246	-12.194
2500	0.255	-11.875
2550	0.266	-11.499
2600	0.278	-11.129
2650	0.290	-10.745
2700	0.302	-10.397
2750	0.316	-10.018
2800	0.328	-9.672
2850	0.344	-9.276
2900	0.360	-8.878
2950	0.377	-8.484
3000	0.395	-8.071
3050	0.412	-7.708
3100	0.431	-7.303
3150	0.451	-6.916
3200	0.473	-6.510
3250	0.496	-6.092
3300	0.517	-5.731
3350	0.541	-5.340
3400	0.564	-4.979
3450	0.586	-4.643
3500	0.606	-4.350
3550	0.629	-4.031
3600	0.648	-3.773
3650	0.663	-3.566
3700	0.678	-3.374
3750	0.691	-3.216
3800	0.698	-3.120
3850	0.703	-3.061
3900	0.704	-3.055
3950	0.702	-3.072
4000	0.698	-3.129
4050	0.689	-3.239
4100	0.677	-3.382
4150	0.668	-3.501
4200	0.655	-3.675
4250	0.641	-3.865
4300	0.626	-4.068
4350	0.612	-4.261
4400	0.595	-4.503
4450	0.581	-4.720
4500	0.567	-4.933
4550	0.551	-5.179
4600	0.538	-5.382
4650	0.523	-5.632
4700	0.508	-5.881
4750	0.495	-6.106
4800	0.483	-6.317
4850	0.470	-6.551
4900	0.460	-6.742
4950	0.448	-6.966
5000	0.437	-7.187
5050	0.426	-7.405
5100	0.417	-7.591
5150	0.406	-7.834
5200	0.398	-7.998
5250	0.388	-8.232
5300	0.382	-8.368
5350	0.372	-8.594
5400	0.362	-8.815
5450	0.358	-8.922
5500	0.350	-9.126
5550	0.342	-9.307
5600	0.336	-9.462
5650	0.329	-9.661
5700	0.322	-9.838
5750	0.316	-10.007
5800	0.311	-10.137
5850	0.307	-10.260
5900	0.301	-10.415
5950	0.295	-10.601
6000	0.291	-10.724
6050	0.286	-10.874
6100	0.281	-11.022
6150	0.275	-11.202
6200	0.272	-11.309
6250	0.268	-11.447
6300	0.263	-11.592
6350	0.261	-11.674
6400	0.256	-11.840
6450	0.252	-11.965
6500	0.248	-12.113
6550	0.245	-12.225
6600	0.240	-12.378
6650	0.239	-12.437
6700	0.235	-12.564
6750	0.232	-12.706
6800	0.228	-12.839
6850	0.226	-12.915
6900	0.223	-13.024
6950	0.219	-13.180
7000	0.217	-13.261
7050	0.215	-13.342
7100	0.213	-13.450
7150	0.209	-13.592
7200	0.207	-13.669
7250	0.205	-13.780
7300	0.203	-13.833
7350	0.200	-13.975
7400	0.198	-14.068
7450	0.196	-14.167
